#File=ironman-malaysia-20060226.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-malaysia-20060226.csv,1,Andrew Steel,---,---,AUS,00:50:33,05:10:10,---,00:02:00,00:03:17,DNF
ironman-malaysia-20060226.csv,2,Belinda Halloran,---,---,AUS,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,3,Bevan Leach,---,---,AUS,00:50:19,05:42:46,06:49:09,00:01:20,00:14:38,13:38:12
ironman-malaysia-20060226.csv,4,Boyd Conrick,---,---,AUS,00:49:58,04:53:52,03:23:23,00:00:58,00:01:53,09:10:04
ironman-malaysia-20060226.csv,5,Bryan Rhodes,---,---,NZL,00:49:52,04:37:34,03:23:42,00:00:55,00:00:56,08:52:59
ironman-malaysia-20060226.csv,6,Cailla Patterson,---,---,CAN,01:15:22,06:02:38,04:00:45,00:01:32,00:01:46,11:22:03
ironman-malaysia-20060226.csv,7,Charlotte Paul,---,---,AUS,01:02:36,05:39:41,03:45:36,00:01:10,00:01:41,10:30:44
ironman-malaysia-20060226.csv,8,Chris Lieto,---,---,USA,00:49:56,04:23:21,03:33:25,00:01:19,00:02:50,08:50:51
ironman-malaysia-20060226.csv,9,Chris Macdonald,---,---,AUS,00:55:42,04:55:53,03:22:56,00:01:12,00:01:15,09:16:58
ironman-malaysia-20060226.csv,10,Glen Gore,---,---,ZAF,00:49:50,05:23:30,03:57:46,00:01:35,00:03:19,10:16:00
ironman-malaysia-20060226.csv,11,Jason Shortis,---,---,AUS,00:54:02,04:42:08,02:56:27,00:02:01,00:01:55,08:36:33
ironman-malaysia-20060226.csv,12,Miyazaki Yasuko,---,---,JPN,01:03:41,05:52:24,---,00:01:35,00:01:35,DNF
ironman-malaysia-20060226.csv,13,Morten Bokaer Peterson,---,---,DNK,00:59:31,05:06:13,---,00:01:29,00:03:34,DNF
ironman-malaysia-20060226.csv,14,Peter Clode,---,---,USA,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,15,Peter Donnelly,25,---,AUS,00:56:56,04:43:30,03:51:44,00:01:54,00:02:17,09:36:21
ironman-malaysia-20060226.csv,16,Petr Vabrousek,32,Intl State,CZE,00:56:42,04:50:33,03:08:43,00:01:24,00:02:44,09:00:06
ironman-malaysia-20060226.csv,17,Pierre Jander,---,---,DEU,00:59:35,05:04:54,05:13:14,00:01:05,00:01:39,11:20:27
ironman-malaysia-20060226.csv,18,Rebecca Preston,---,---,AUS,00:59:40,05:04:37,---,00:01:35,00:01:32,DNF
ironman-malaysia-20060226.csv,19,Sonja Tajsich,---,---,DEU,01:09:40,05:27:18,03:27:34,00:01:53,00:01:48,10:08:13
ironman-malaysia-20060226.csv,20,Ute Strelter,---,---,AUT,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,21,Yukako Inoue,---,---,JPN,00:59:29,05:44:02,03:55:18,00:01:20,00:01:44,10:41:53
ironman-malaysia-20060226.csv,22,Zsuzsanna Harsanyi,---,---,HUN,01:03:09,05:30:21,03:39:51,00:01:04,00:01:59,10:16:24
ironman-malaysia-20060226.csv,23,Peter Jacobs,---,---,AUS,00:49:59,04:40:14,03:31:01,00:01:42,00:01:19,09:04:15
ironman-malaysia-20060226.csv,24,Ruthy Vesler,---,---,USA,00:59:34,06:04:49,04:43:03,00:01:21,00:01:01,11:49:48
ironman-malaysia-20060226.csv,25,Peter Kern,---,---,IRL,00:58:54,04:49:02,---,00:00:38,00:01:37,DNF
ironman-malaysia-20060226.csv,42,Andreas Merz,---,---,CHE,01:09:34,06:09:55,04:41:15,00:04:41,00:04:22,12:09:47
ironman-malaysia-20060226.csv,43,Siew Seng Wendy Wong,---,---,MYS,01:52:55,---,07:47:26,00:04:13,07:33:13,16:28:35
ironman-malaysia-20060226.csv,44,Iyad Abbas,---,---,CAN,01:28:49,05:41:26,06:52:21,00:03:15,00:04:46,14:10:37
ironman-malaysia-20060226.csv,45,Perry Michiko,---,---,JPN,01:58:48,04:17:33,05:35:11,00:06:05,03:43:07,15:40:44
ironman-malaysia-20060226.csv,46,Muura Yoshinori,---,---,JPN,01:23:53,00:06:57,07:14:25,00:04:43,07:39:41,16:29:39
ironman-malaysia-20060226.csv,47,Bius Antonio Rius,---,---,ESP,02:01:14,---,07:02:31,00:07:58,07:44:00,16:16:38
ironman-malaysia-20060226.csv,48,Warn Trealle,---,---,NZL,01:16:12,05:54:28,04:30:20,00:04:33,00:05:38,11:51:11
ironman-malaysia-20060226.csv,49,Dianne Mary Power,---,---,AUS,01:33:05,---,06:25:32,00:04:21,07:38:34,15:22:55
ironman-malaysia-20060226.csv,50,Eugene Lee,28,---,SGP,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,51,Adib Mohamed,---,---,MYS,01:29:45,06:03:50,05:43:18,00:03:11,00:07:52,13:27:56
ironman-malaysia-20060226.csv,52,Arman Ariffin,---,---,MYS,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,53,Bernard Tay Ji An,---,---,SGP,01:06:58,06:44:43,05:58:11,00:07:29,00:07:05,14:04:26
ironman-malaysia-20060226.csv,54,Chris Lenke,---,---,DEU,01:10:26,05:18:25,04:44:00,00:01:53,00:03:38,11:18:22
ironman-malaysia-20060226.csv,55,Hoon Wei Kent,---,---,MYS,01:09:52,---,06:30:19,00:06:49,07:36:40,15:16:18
ironman-malaysia-20060226.csv,56,Lam Zhao Bin,---,---,SGP,01:44:18,---,06:43:07,00:07:03,07:41:27,15:53:17
ironman-malaysia-20060226.csv,57,Mohd Helmi Abd Rahman,---,---,MYS,---,---,06:23:19,---,07:35:21,16:33:28
ironman-malaysia-20060226.csv,58,Muammar Qadhaffi,---,---,MYS,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,59,Sangud Richard,---,---,MYS,01:14:17,06:09:17,05:09:45,00:03:04,00:04:23,12:40:46
ironman-malaysia-20060226.csv,60,Shunsuke Karino,23,---,JPN,01:12:18,06:24:14,05:06:16,00:04:00,00:08:20,12:55:08
ironman-malaysia-20060226.csv,61,Taiju Matsuoka,24,---,JPN,00:53:59,05:33:30,04:33:35,00:02:08,00:02:13,11:05:25
ironman-malaysia-20060226.csv,62,Taw Yeang Goh,---,---,MYS,01:56:13,06:14:56,06:14:58,00:04:42,00:07:20,14:38:09
ironman-malaysia-20060226.csv,63,Alexander Plehn,---,---,DEU,01:36:45,05:38:13,06:50:22,00:06:12,00:07:18,14:18:50
ironman-malaysia-20060226.csv,64,Anthony Mcclement,---,---,AUS,00:59:37,05:19:13,03:52:55,00:01:48,00:03:00,10:16:33
ironman-malaysia-20060226.csv,65,Cliff Scherb,26,CT,USA,01:08:35,05:29:03,---,00:02:48,00:05:53,DNF
ironman-malaysia-20060226.csv,66,Dan Brown,---,---,AUS,01:09:44,05:10:41,04:11:47,00:01:37,00:02:21,10:36:10
ironman-malaysia-20060226.csv,67,David Nyeste,---,---,DEU,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,68,Hiroki Zaizen,---,---,JPN,01:07:32,05:18:10,03:48:18,00:04:38,00:02:04,10:20:42
ironman-malaysia-20060226.csv,69,Jarmo Makelainen,---,---,FIN,00:53:58,05:17:10,---,00:01:18,00:02:19,DNF
ironman-malaysia-20060226.csv,70,Jasmi Sarael,---,---,MYS,01:22:56,05:41:38,03:36:52,00:02:23,00:02:09,10:45:58
ironman-malaysia-20060226.csv,71,Jusery Gani,---,---,MYS,01:17:57,05:47:30,---,00:02:25,00:02:57,DNF
ironman-malaysia-20060226.csv,72,Kjell Schioberg,28,ID,DEU,01:10:42,05:15:37,03:22:08,00:01:38,00:01:29,09:51:34
ironman-malaysia-20060226.csv,73,Joo Hock Lim,---,---,MYS,02:14:45,---,05:28:47,00:15:45,07:39:51,15:27:34
ironman-malaysia-20060226.csv,74,Hin Tong Loong,---,---,MYS,01:39:31,---,05:59:30,00:06:33,07:37:52,15:02:39
ironman-malaysia-20060226.csv,75,Nazzrueldin Mohamad Rambli,---,---,MYS,01:44:54,---,06:35:00,00:10:35,07:41:38,15:54:36
ironman-malaysia-20060226.csv,76,Saravana A/L Gengappan,---,---,MYS,01:46:56,---,04:22:54,00:02:46,07:34:04,12:54:41
ironman-malaysia-20060226.csv,77,Thomas Ornik,---,---,AUT,01:24:35,05:16:43,04:26:24,00:03:11,00:02:50,11:13:43
ironman-malaysia-20060226.csv,78,Yutaroh Harada,25,---,JPN,00:50:55,05:36:36,04:01:19,00:02:05,00:02:56,10:33:51
ironman-malaysia-20060226.csv,79,Aoki Isamu,---,---,JPN,01:38:26,06:32:41,07:04:15,00:03:45,00:20:28,15:39:35
ironman-malaysia-20060226.csv,80,Armin Baniaz Pahamin,---,---,MYS,---,---,---,---,---,DNS
ironman-malaysia-20060226.csv,81,Armin Hohenadler,---,---,DEU,01:22:59,05:00:06,03:41:56,00:02:21,00:01:47,10:09:09
ironman-malaysia-20060226.csv,82,Aung Moe,---,---,MYS,01:51:55,00:09:01,---,00:05:27,---,DNF
