#File=ironman-mallorca-20160924.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-mallorca-20160924.csv,1,Marcel Zamora Perez,38,Intl State,ESP,00:52:47,04:41:28,03:00:11,00:02:30,00:02:33,08:39:29
ironman-mallorca-20160924.csv,2,Markus Fachbach,33,---,DEU,00:52:41,04:38:00,02:56:20,00:02:30,00:02:20,08:31:51
ironman-mallorca-20160924.csv,3,Carlos Lopez Diaz,33,---,ESP,00:48:56,04:36:15,02:55:42,00:02:17,00:02:59,08:26:09
ironman-mallorca-20160924.csv,4,Michael Van Cleven,27,---,BEL,00:52:50,---,---,00:02:51,---,DNF
ironman-mallorca-20160924.csv,5,Joan Nadal Clar,36,---,ESP,00:57:09,04:41:20,02:55:06,00:02:39,00:04:11,08:40:25
ironman-mallorca-20160924.csv,6,Santiago Abad De Agueda,42,---,ESP,01:01:42,05:12:35,03:34:58,00:03:03,00:03:31,09:55:49
ironman-mallorca-20160924.csv,7,Konstantin Bachor,31,---,DEU,00:52:31,04:38:52,03:14:32,00:02:32,00:02:45,08:51:12
ironman-mallorca-20160924.csv,8,Hervé Banti,39,Intl State,MCO,00:52:44,04:44:08,03:37:14,00:02:36,00:02:38,09:19:20
ironman-mallorca-20160924.csv,9,Bart Borghs,30,Intl State,BEL,01:01:31,04:51:27,02:50:03,00:02:59,00:02:45,08:48:45
ironman-mallorca-20160924.csv,10,Thomas Bosch,31,---,DEU,00:57:56,04:47:43,03:04:58,00:03:02,00:02:31,08:56:10
ironman-mallorca-20160924.csv,11,Simon Brierley,37,Paphos,SYC,00:57:58,---,---,00:03:33,---,DNF
ironman-mallorca-20160924.csv,12,Roman Deisenhofer,31,---,DEU,00:52:30,04:44:20,03:04:58,00:02:40,00:03:00,08:47:28
ironman-mallorca-20160924.csv,13,Rafael Espinar,41,ES,ESP,01:08:17,05:18:12,03:13:17,00:05:43,00:04:15,09:49:44
ironman-mallorca-20160924.csv,14,Herve Faure,40,---,FRA,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,15,Francisco Fernandez-Cortes,28,---,ESP,00:52:35,---,---,00:02:20,---,DNF
ironman-mallorca-20160924.csv,16,Erik Holmberg,28,---,SWE,00:53:42,04:52:14,03:10:25,00:02:35,00:02:02,09:00:58
ironman-mallorca-20160924.csv,17,Jan Hron,35,Intl State,CZE,01:01:15,05:16:25,03:10:59,00:04:09,00:03:18,09:36:06
ironman-mallorca-20160924.csv,18,Mikita Hryhoryeu,26,---,BLR,00:53:07,04:57:31,03:03:35,00:02:41,00:03:02,08:59:56
ironman-mallorca-20160924.csv,19,David Jilek,29,Intl State,CZE,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,20,Philipp Koutny,33,---,CHE,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,21,Alen Kralj,38,Intl State,SVN,00:58:50,05:15:57,03:33:26,00:03:53,00:04:25,09:56:31
ironman-mallorca-20160924.csv,22,David Krupicka,39,CZ,CZE,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,23,Ludovic Le Guellec,34,---,FRA,01:06:20,05:15:57,03:20:00,00:04:18,00:03:47,09:50:22
ironman-mallorca-20160924.csv,24,Michael Louys,30,---,BEL,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,25,Tomas Mika,29,Intl State,CZE,00:53:11,05:03:39,---,00:02:55,00:04:07,DNF
ironman-mallorca-20160924.csv,26,Matic Modic,29,Intl State,SVN,00:56:42,04:45:17,---,00:02:44,00:02:54,DNF
ironman-mallorca-20160924.csv,27,Marek Nemcik,41,Intl State,SVK,01:11:51,05:47:45,04:10:41,00:04:35,00:04:01,11:18:53
ironman-mallorca-20160924.csv,28,Sebastian Pedraza,43,Intl State,ITA,00:57:43,05:03:21,03:47:58,00:03:04,00:02:31,09:54:37
ironman-mallorca-20160924.csv,29,Horst Reichel,34,---,DEU,00:48:59,04:45:48,03:22:05,00:02:30,00:02:18,09:01:40
ironman-mallorca-20160924.csv,30,Michael Rünz,29,---,DEU,00:57:51,04:42:34,02:53:48,00:03:08,00:02:16,08:39:37
ironman-mallorca-20160924.csv,31,Kevin Rundstadler,22,---,FRA,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,32,Alexander Schilling,27,---,DEU,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,33,Till Schramm,31,---,DEU,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,34,Erik-Simon Strijk,31,---,NLD,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,35,Tomas Swift-Metcalfe,31,Lagoa,GBR,01:01:38,04:56:44,03:24:59,00:05:23,00:03:14,09:31:58
ironman-mallorca-20160924.csv,36,Darby Thomas,33,Intl State,FIN,00:59:06,04:41:33,03:04:31,00:03:32,00:02:17,08:50:59
ironman-mallorca-20160924.csv,37,Hendrik-Jan Verhaegen,26,---,BEL,00:57:53,---,---,00:02:52,---,DNF
ironman-mallorca-20160924.csv,38,Kit Walker,26,Dorset,GBR,00:53:40,05:03:54,03:50:53,00:02:58,00:04:42,09:56:07
ironman-mallorca-20160924.csv,39,Richard Westover,29,---,GBR,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,40,Urs Mueller,32,---,CHE,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,41,Alfred Rahm,40,---,DEU,01:03:34,04:56:20,03:14:50,00:04:20,00:04:28,09:23:32
ironman-mallorca-20160924.csv,42,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,43,Mike Schifferle,43,---,CHE,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,44,Samuel Huerzeler,32,---,CHE,00:52:58,04:43:42,03:00:43,00:02:57,00:02:58,08:43:18
ironman-mallorca-20160924.csv,45,Johan Kärner,26,---,SWE,00:58:59,---,---,---,---,DNF
ironman-mallorca-20160924.csv,46,Hannes Bonami,29,---,BEL,01:01:31,---,---,00:03:02,---,DNF
ironman-mallorca-20160924.csv,47,Vincent Depuiset,40,---,FRA,01:07:18,05:03:27,03:16:55,00:03:39,00:03:26,09:34:45
ironman-mallorca-20160924.csv,48,Trevor Delsaut,31,---,FRA,00:53:46,05:02:19,---,00:02:32,00:05:44,DNF
ironman-mallorca-20160924.csv,49,Guillaume Jeannin,34,---,FRA,00:53:44,04:46:15,03:10:43,00:02:46,00:02:18,08:55:46
ironman-mallorca-20160924.csv,50,Gustavo Rodríguez,37,---,ESP,00:53:54,04:45:13,02:48:02,00:03:11,00:02:12,08:32:32
ironman-mallorca-20160924.csv,51,Natascha Schmitt,30,---,DEU,00:55:59,05:08:43,03:41:54,00:02:57,00:03:09,09:52:42
ironman-mallorca-20160924.csv,52,Alexandra Tondeur,29,---,BEL,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,53,Diana Riesler,32,---,DEU,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,54,Emma Bilham,29,---,CHE,00:55:23,---,---,00:02:42,---,DNF
ironman-mallorca-20160924.csv,55,Jessica Ahlund,24,---,SWE,00:59:33,05:41:31,---,00:03:20,00:11:55,DNF
ironman-mallorca-20160924.csv,56,Nikki Bartlett,29,Gloucestershire,GBR,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,57,Jocelyn Mccauley,29,OH,USA,00:56:02,05:06:10,03:03:50,00:03:03,00:02:50,09:11:55
ironman-mallorca-20160924.csv,58,Lauren Parker,27,NSW,AUS,00:53:31,05:31:59,---,00:03:57,00:03:48,DNF
ironman-mallorca-20160924.csv,59,Sara Svensk,27,---,SWE,01:00:35,05:13:53,03:09:00,00:02:53,00:02:37,09:28:58
ironman-mallorca-20160924.csv,60,Leslie Miller,31,VA,USA,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,61,Lina-Kristin Schink,32,---,DEU,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,62,Alena Stevens,33,Slovakia,SVK,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,63,Deborah Van Gossum,30,BE,BEL,00:55:59,05:40:31,03:59:41,00:03:21,00:03:10,10:42:42
ironman-mallorca-20160924.csv,64,Helena Herrero Gomez,40,---,ESP,00:59:32,05:31:52,03:23:19,00:03:19,00:03:04,10:01:06
ironman-mallorca-20160924.csv,65,Nicole Woysch,39,---,DEU,01:00:23,05:25:10,---,00:03:22,00:04:44,DNF
ironman-mallorca-20160924.csv,66,Tineke Van Den Berg,37,Intl State,NLD,01:05:20,04:53:59,03:18:57,00:03:45,00:02:26,09:24:27
ironman-mallorca-20160924.csv,67,Diane Lüthi,34,CH,CHE,00:55:59,05:12:47,03:24:41,00:03:13,00:03:18,09:39:58
ironman-mallorca-20160924.csv,68,Petra Krejcova,37,Czech Republic,CZE,01:00:29,05:28:32,03:25:45,00:02:48,00:02:43,10:00:17
ironman-mallorca-20160924.csv,69,Nina Kuhn,33,---,DEU,---,---,---,---,---,DQ
ironman-mallorca-20160924.csv,70,Maja Stage Nielsen,28,---,DNK,00:58:59,05:06:06,03:13:19,00:02:59,00:02:17,09:23:40
ironman-mallorca-20160924.csv,101,Stuart Croxford,30,---,GBR,01:25:17,06:24:24,05:33:48,00:12:15,00:16:30,13:52:14
ironman-mallorca-20160924.csv,102,Sandro Bauer,30,---,CHE,00:54:14,05:09:52,03:34:45,00:03:42,00:03:08,09:45:41
ironman-mallorca-20160924.csv,103,Mark Billyard,31,Essex,GBR,00:51:39,05:18:14,03:21:26,00:04:16,00:04:47,09:40:22
ironman-mallorca-20160924.csv,104,Cédric Dutheil,32,Other,FRA,01:01:20,04:58:23,03:51:38,00:03:03,00:03:24,09:57:48
ironman-mallorca-20160924.csv,105,Damien Landon,34,---,FRA,00:52:17,04:54:52,03:08:16,00:03:38,00:03:44,09:02:47
ironman-mallorca-20160924.csv,106,Gavin Mofsowitz,32,Gauteng,ZAF,01:00:42,05:20:36,03:19:38,00:03:34,00:04:12,09:48:42
ironman-mallorca-20160924.csv,107,Mathieu Paolillo,31,---,FRA,00:52:43,04:55:53,03:02:58,00:03:47,00:02:18,08:57:39
ironman-mallorca-20160924.csv,108,Paulo Antunes,38,Other,PRT,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,109,David Colgan,35,BO,ITA,01:07:58,04:55:27,02:58:41,00:03:49,00:03:18,09:09:13
ironman-mallorca-20160924.csv,110,Jens Dahlman,36,Uusimaa,FIN,00:59:26,04:52:03,03:13:10,00:03:14,00:02:40,09:10:33
ironman-mallorca-20160924.csv,111,Sebastjan Gergoric,38,Slovenia,SVN,01:07:47,05:14:33,03:19:19,00:03:37,00:03:18,09:48:34
ironman-mallorca-20160924.csv,112,Ian Gibson,38,---,GBR,01:09:06,06:11:13,04:42:34,00:04:19,00:06:32,12:13:44
ironman-mallorca-20160924.csv,113,Marco Iseli,36,---,CHE,00:55:25,04:51:17,03:10:59,00:03:55,00:03:26,09:05:02
ironman-mallorca-20160924.csv,114,Robert Kathan,37,---,AUT,00:58:02,04:57:40,03:10:36,00:04:12,00:04:04,09:14:34
ironman-mallorca-20160924.csv,115,Olivier Lange,38,---,BEL,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,116,Benjamin Pernet,35,---,FRA,00:48:17,04:52:18,03:07:05,00:03:33,00:02:43,08:53:56
ironman-mallorca-20160924.csv,117,Oriol Rubio Carbó,39,---,AND,01:07:21,05:24:34,03:35:42,00:04:04,00:03:40,10:15:21
ironman-mallorca-20160924.csv,118,Max Charles Schneble,36,---,CHE,00:58:18,05:06:12,---,00:03:23,00:03:22,DNF
ironman-mallorca-20160924.csv,119,Michael Schnitzler,35,---,AUT,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,120,Daniel Ziegler,37,---,CHE,01:04:56,04:56:18,03:11:20,00:03:45,00:03:26,09:19:45
ironman-mallorca-20160924.csv,121,Aitor Castañeyra Mena,44,---,ESP,01:05:13,06:27:19,05:53:40,00:06:28,00:09:00,13:41:40
ironman-mallorca-20160924.csv,122,Daniel Del Toro De Leon,40,ES,ESP,01:04:37,05:06:42,03:23:59,00:04:34,00:04:04,09:43:56
ironman-mallorca-20160924.csv,123,Morten Halkjær,41,DK,DNK,01:07:54,05:12:55,03:24:08,00:04:33,00:03:05,09:52:35
ironman-mallorca-20160924.csv,124,David Houska,43,BZ,CZE,01:05:15,05:07:56,03:18:52,00:04:45,00:03:37,09:40:25
ironman-mallorca-20160924.csv,125,Thomas Landtwing,41,---,CHE,00:57:01,05:04:22,03:50:10,00:07:00,00:03:15,10:01:48
ironman-mallorca-20160924.csv,126,David Mattei,44,Siena,ITA,---,---,---,---,---,DNS
ironman-mallorca-20160924.csv,127,Christophe Oppliger,44,---,CHE,01:01:07,05:10:30,03:10:21,00:04:47,00:03:15,09:30:00
ironman-mallorca-20160924.csv,128,Joeri Van Houtem,41,---,BEL,01:00:24,---,---,00:03:44,---,DNF
ironman-mallorca-20160924.csv,129,Leonhard Wiedemann,41,---,DEU,00:59:50,05:00:43,03:18:19,00:03:10,00:02:41,09:24:43
ironman-mallorca-20160924.csv,130,Reinhard Winter,41,---,AUT,01:02:10,05:00:08,03:09:29,00:03:18,00:02:39,09:17:44
ironman-mallorca-20160924.csv,131,Luis Arriba Hernando,48,---,ESP,01:01:31,05:12:36,03:28:39,00:04:28,00:03:17,09:50:31
ironman-mallorca-20160924.csv,132,Andreas Brenner,48,---,DEU,01:12:46,05:47:40,03:45:58,00:05:55,00:05:43,10:58:02
ironman-mallorca-20160924.csv,133,Stephen Dermody,46,kilkenny,IRL,01:05:03,05:36:24,03:56:10,00:06:00,00:03:22,10:46:59
ironman-mallorca-20160924.csv,134,Jon Ellis-Smith,48,APO,GBR,01:09:29,05:32:49,03:56:51,00:06:01,00:07:19,10:52:29
ironman-mallorca-20160924.csv,135,Håkan Johnsson,49,---,SWE,01:14:42,05:29:59,04:27:09,00:09:18,00:07:05,11:28:13
ironman-mallorca-20160924.csv,136,Jochen Philipp,49,---,DEU,01:09:01,05:23:08,03:48:07,00:05:13,00:04:21,10:29:50
ironman-mallorca-20160924.csv,137,Frederic Severino,45,Other,FRA,01:01:21,05:19:01,05:37:53,00:04:32,00:04:24,12:07:11
ironman-mallorca-20160924.csv,138,Koen Vanreusel,48,BE,BEL,01:10:52,05:04:22,03:53:29,00:05:01,00:04:40,10:18:24
ironman-mallorca-20160924.csv,139,Mark Wilson,44,NL,NLD,01:05:53,05:08:45,03:19:52,00:03:32,00:03:16,09:41:18
ironman-mallorca-20160924.csv,140,Rainer Breuer,53,---,DEU,01:15:28,05:01:20,03:14:31,00:04:10,00:03:33,09:39:02
ironman-mallorca-20160924.csv,141,Luca Dondi,53,Bo,ITA,01:14:36,05:34:42,04:28:51,00:05:02,00:03:31,11:26:42
ironman-mallorca-20160924.csv,142,Steffen Fleischer,51,---,DEU,01:12:56,05:42:14,03:41:15,00:06:06,00:05:36,10:48:07
