#File=ironman-melbourne-20120325.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-melbourne-20120325.csv,1,Craig Alexander,38,NSW,AUS,00:50:33,04:24:43,02:38:46,00:01:59,00:01:43,07:57:44
ironman-melbourne-20120325.csv,3,Luke Mckenzie,30,QLD,AUS,00:47:11,04:30:34,---,00:01:56,00:01:53,DNF
ironman-melbourne-20120325.csv,4,Eneko Llanos,35,---,ESP,00:47:26,04:27:44,02:43:46,00:02:10,00:01:17,08:02:23
ironman-melbourne-20120325.csv,5,Luke Bell,32,VIC,AUS,00:47:22,04:27:47,02:52:13,00:02:08,00:01:08,08:10:38
ironman-melbourne-20120325.csv,6,Cameron Brown,39,AUK,NZL,00:50:37,04:24:48,02:41:17,00:01:53,00:01:37,08:00:12
ironman-melbourne-20120325.csv,7,Frederik Van Lierde,32,---,BEL,00:47:25,04:27:40,02:42:46,00:02:02,00:01:33,08:01:26
ironman-melbourne-20120325.csv,8,Greg Bennett,40,---,USA,00:47:18,04:49:48,03:21:19,00:02:25,00:03:11,09:04:01
ironman-melbourne-20120325.csv,9,Joe Gambles,30,CO,AUS,00:47:40,04:27:46,02:54:02,00:01:48,00:01:30,08:12:46
ironman-melbourne-20120325.csv,10,Jason Shortis,41,NSW,AUS,00:54:40,04:36:00,03:22:15,00:02:33,00:02:05,08:57:33
ironman-melbourne-20120325.csv,11,Bart Aernouts,27,---,BEL,00:55:25,04:35:46,02:42:44,00:01:59,00:02:23,08:18:17
ironman-melbourne-20120325.csv,12,Marko Albert,32,Intl State,EST,00:47:13,04:29:55,02:57:35,00:01:53,00:01:28,08:18:04
ironman-melbourne-20120325.csv,13,Mitchell Anderson,36,---,AUS,00:55:19,04:32:27,03:14:48,00:02:32,00:01:33,08:46:39
ironman-melbourne-20120325.csv,14,Johan Borg,22,WA,AUS,00:55:27,04:58:09,03:23:05,00:03:02,00:02:10,09:21:53
ironman-melbourne-20120325.csv,15,Daniel Brown,36,NSW,PHL,---,---,---,---,---,DNS
ironman-melbourne-20120325.csv,16,Finnbar Crennan,---,NSW,AUS,00:57:52,04:56:22,03:14:52,00:02:17,00:03:21,09:14:44
ironman-melbourne-20120325.csv,17,Frederik Croneborg,31,---,SWE,00:54:39,04:58:59,03:05:59,00:02:59,00:02:08,09:04:44
ironman-melbourne-20120325.csv,18,David Dellow,32,QLD,AUS,00:47:24,04:28:09,02:45:05,00:01:46,00:01:55,08:04:19
ironman-melbourne-20120325.csv,19,Clayton Fettell,25,NSW,AUS,00:45:59,---,---,00:01:52,---,DNF
ironman-melbourne-20120325.csv,20,Justin Granger,40,---,AUS,00:55:40,04:58:34,03:06:42,00:02:12,00:02:05,09:05:13
ironman-melbourne-20120325.csv,21,Jens Groenbek,29,---,DNK,00:55:25,04:35:50,03:25:27,00:02:03,00:01:51,09:00:36
ironman-melbourne-20120325.csv,22,Romain Guillaume,27,---,FRA,00:50:44,04:29:23,03:01:59,00:02:07,00:01:38,08:25:51
ironman-melbourne-20120325.csv,23,Esben Hovgaard,29,---,DNK,00:55:34,04:35:33,03:03:49,00:02:13,00:01:42,08:38:51
ironman-melbourne-20120325.csv,24,Todd Israel,36,NSW,AUS,00:50:43,04:40:08,02:58:32,00:02:26,00:01:42,08:33:31
ironman-melbourne-20120325.csv,25,Joel Jameson,29,Intl State,GBR,00:58:28,04:53:21,03:03:44,00:02:05,00:01:50,08:59:28
ironman-melbourne-20120325.csv,26,Bert Jammaer,32,---,BEL,00:50:33,04:28:19,---,00:01:54,00:03:09,DNF
ironman-melbourne-20120325.csv,27,Øyvind Johannessen,28,---,NOR,00:58:42,---,---,00:02:10,---,DNF
ironman-melbourne-20120325.csv,28,Lothar Leder,41,---,DEU,00:55:27,04:42:44,03:09:32,00:02:03,00:01:48,08:51:34
ironman-melbourne-20120325.csv,29,Sergio Marques,31,Lisboa,PRT,00:56:00,04:41:28,03:12:23,00:02:06,00:02:17,08:54:14
ironman-melbourne-20120325.csv,30,Paul Matthews,28,TX,USA,00:47:22,04:28:16,02:47:24,00:01:41,00:01:15,08:05:58
ironman-melbourne-20120325.csv,32,Hiroyuki Nishiuchi,36,Hyogo,JPN,00:50:41,05:09:35,03:12:59,00:02:50,00:01:56,09:18:01
ironman-melbourne-20120325.csv,33,Courtney Ogden,39,WA,AUS,00:50:40,04:55:14,04:32:54,00:02:15,00:02:42,10:23:45
ironman-melbourne-20120325.csv,34,Jens Petersen-Bach,27,---,DNK,00:55:20,04:35:56,02:55:10,00:02:07,00:01:37,08:30:10
ironman-melbourne-20120325.csv,35,Joshua Rix,33,VIC,AUS,00:50:36,04:26:38,03:01:28,00:01:48,00:01:47,08:22:17
ironman-melbourne-20120325.csv,36,Alejandro Santamaria Perez,34,---,ESP,00:56:01,04:43:46,02:58:17,00:01:50,00:01:21,08:41:15
ironman-melbourne-20120325.csv,37,Billeau Simon,---,---,FRA,00:55:57,04:35:13,03:50:33,00:02:05,00:01:34,09:25:22
ironman-melbourne-20120325.csv,38,Gudmund Snilstveit,30,---,NOR,00:59:13,04:31:35,03:44:45,00:02:13,00:01:53,09:19:39
ironman-melbourne-20120325.csv,39,Shinya Suganuma,29,okinawa,JPN,00:59:00,04:54:52,03:04:27,00:02:48,00:01:43,09:02:50
ironman-melbourne-20120325.csv,41,Petr Vabrousek,38,Intl State,CZE,00:55:26,04:35:35,02:54:33,00:02:07,00:01:44,08:29:25
ironman-melbourne-20120325.csv,42,Matty White,34,---,AUS,00:50:35,04:24:52,03:39:25,00:01:52,00:01:26,08:58:10
ironman-melbourne-20120325.csv,43,Pawel Wisniewski,---,VIC,AUS,00:59:14,04:54:45,---,00:02:36,00:02:31,DNF
ironman-melbourne-20120325.csv,49,Joe Kuriel,35,---,AUS,01:15:29,04:59:10,05:47:28,00:15:32,00:12:52,12:30:31
ironman-melbourne-20120325.csv,50,Russell Glasser,41,---,AUS,01:23:59,04:58:42,05:47:29,00:07:04,00:13:17,12:30:31
ironman-melbourne-20120325.csv,51,Mirinda Carfrae,30,CO,USA,00:53:29,05:07:38,02:58:29,00:02:22,00:02:02,09:04:00
ironman-melbourne-20120325.csv,53,Rachel Joyce,33,CO,GBR,00:52:34,04:44:57,03:05:02,00:01:59,00:01:37,08:46:09
ironman-melbourne-20120325.csv,54,Caroline Claudia Steffen,33,NSW,AUS,00:53:29,04:35:29,03:01:22,00:02:25,00:02:06,08:34:51
ironman-melbourne-20120325.csv,55,Rebekah Keat,34,CO,AUS,00:53:24,05:01:18,03:14:49,00:02:12,00:02:00,09:13:43
ironman-melbourne-20120325.csv,56,Belinda Granger,41,---,AUS,00:53:30,05:07:35,03:20:48,00:02:43,00:01:45,09:26:21
ironman-melbourne-20120325.csv,58,Jessica Jacobs,35,AP,USA,01:10:17,04:56:36,03:02:31,00:02:43,00:01:50,09:13:57
ironman-melbourne-20120325.csv,60,Carrie Lester,31,QLD,AUS,00:55:22,05:02:31,03:16:31,00:02:20,00:01:41,09:18:25
ironman-melbourne-20120325.csv,62,Suzanne Blackborrow,35,VIC,AUS,01:04:31,05:08:52,03:31:07,00:03:24,00:02:46,09:50:40
ironman-melbourne-20120325.csv,63,Gina Crawford,31,Canterbury,NZL,00:53:11,05:09:48,03:03:42,00:02:35,00:02:00,09:11:16
ironman-melbourne-20120325.csv,64,Conny Dauben,36,---,DEU,01:14:14,05:24:31,04:06:33,00:03:12,00:05:51,10:54:21
ironman-melbourne-20120325.csv,66,Marthe Eikre-Telle,---,---,NOR,01:29:37,05:48:15,04:12:46,00:06:55,00:05:28,11:43:01
