#File=ironman-mont-tremblant-20170820.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-mont-tremblant-20170820.csv,1,Marino Vanhoenacker,41,---,BEL,00:53:23,04:26:56,02:56:10,00:03:21,00:01:39,08:21:29
ironman-mont-tremblant-20170820.csv,2,Chris Mcdonald,39,CO,USA,00:53:56,04:38:10,03:04:28,00:03:25,00:01:48,08:41:47
ironman-mont-tremblant-20170820.csv,3,Andreas Raelert,41,---,DEU,---,---,---,---,---,DNS
ironman-mont-tremblant-20170820.csv,4,Patrick Evoe,40,CO,USA,00:58:42,04:30:28,---,00:03:43,---,DNF
ironman-mont-tremblant-20170820.csv,5,Leon Griffin,37,CO,AUS,---,---,---,---,---,DNS
ironman-mont-tremblant-20170820.csv,6,Petr Vabrousek,43,Intl State,CZE,00:58:54,04:47:19,03:14:55,00:03:52,00:02:04,09:07:04
ironman-mont-tremblant-20170820.csv,7,Reinaldo Colucci,31,Sao Paulo,BRA,---,---,---,---,---,DNS
ironman-mont-tremblant-20170820.csv,8,Stephen Kilshaw,32,BC,CAN,00:56:41,---,---,00:04:27,---,DNF
ironman-mont-tremblant-20170820.csv,9,Chad Holderbaum,37,PA,USA,00:58:13,04:44:54,03:08:17,00:03:44,00:01:51,08:56:59
ironman-mont-tremblant-20170820.csv,10,Antoine Jolicoeur Desroches,24,QC,CAN,00:53:17,04:46:02,---,00:03:04,00:01:18,DNF
ironman-mont-tremblant-20170820.csv,11,Daniel Clarke,28,ON,CAN,00:58:15,04:42:13,04:11:30,00:03:30,00:01:42,09:57:10
ironman-mont-tremblant-20170820.csv,12,Jordan Monnink,30,ON,CAN,00:54:33,04:46:49,03:04:58,00:03:39,00:01:30,08:51:29
ironman-mont-tremblant-20170820.csv,13,Wouter Monchy,31,---,BEL,00:53:26,04:52:44,03:11:38,00:03:22,00:02:15,09:03:25
ironman-mont-tremblant-20170820.csv,14,Derek Garcia,33,ID,USA,00:56:32,---,---,00:03:33,---,DNF
