#ironman-new-zealand-20160305.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-new-zealand-20160305.csv,1,Cameron Brown,44,NZ,NZL,00:48:37,04:29:13,02:44:54,00:03:41,00:01:33,08:07:58
ironman-new-zealand-20160305.csv,2,Terenzo Bozzone,31,CA,NZL,00:46:46,04:31:27,02:56:55,00:03:19,00:01:26,08:19:53
ironman-new-zealand-20160305.csv,3,Dylan Mcneice,31,NZ,NZL,00:44:54,04:48:47,---,00:04:03,00:01:31,DNF
ironman-new-zealand-20160305.csv,4,Cyril Viennot,34,---,FRA,00:48:38,04:26:50,03:06:38,00:03:38,00:01:52,08:27:36
ironman-new-zealand-20160305.csv,5,Matt Hanson,31,IA,USA,00:51:34,04:34:42,02:41:20,00:03:21,00:01:33,08:12:30
ironman-new-zealand-20160305.csv,7,Paul Matthews,33,CO,AUS,00:46:41,04:50:42,---,00:03:10,00:01:52,DNF
ironman-new-zealand-20160305.csv,8,Alex Reithmeier,33,NSW,AUS,00:48:42,04:43:43,---,00:03:21,00:02:46,DNF
ironman-new-zealand-20160305.csv,9,Dougal Allan,31,---,NZL,00:56:26,04:22:13,03:00:43,00:03:35,00:01:30,08:24:27
ironman-new-zealand-20160305.csv,10,Antony Costes,26,---,FRA,00:46:40,04:33:42,03:19:27,00:03:33,00:01:18,08:44:40
ironman-new-zealand-20160305.csv,11,Simon Billeau,34,WA,FRA,00:55:00,04:38:54,03:15:02,00:03:29,00:01:49,08:54:14
ironman-new-zealand-20160305.csv,13,Mark Bowstead,27,---,NZL,00:46:36,04:31:30,03:06:15,00:03:32,00:01:45,08:29:38
ironman-new-zealand-20160305.csv,14,Dan Brown,40,NSW,AUS,01:00:58,05:51:32,---,00:04:48,00:04:38,DNF
ironman-new-zealand-20160305.csv,15,Sam Millar Clark,26,BOP,NZL,00:56:19,04:56:23,03:28:01,00:03:40,00:03:18,09:27:41
ironman-new-zealand-20160305.csv,16,Simon Cochrane,32,---,NZL,00:48:32,04:32:28,03:02:08,00:03:28,00:01:37,08:28:13
ironman-new-zealand-20160305.csv,17,Guy Crawford,37,NSW,NZL,00:46:43,04:31:22,03:20:08,00:03:31,00:01:44,08:43:28
ironman-new-zealand-20160305.csv,18,Clayton Fettell,30,NSW,AUS,00:46:40,04:40:26,03:16:11,00:03:38,00:01:20,08:48:15
ironman-new-zealand-20160305.csv,19,Darren Jenkins,35,WA,AUS,01:02:44,05:01:10,02:54:12,00:04:35,00:02:25,09:05:06
ironman-new-zealand-20160305.csv,21,Callum Millward,33,QLD,NZL,00:46:49,04:31:13,02:48:01,00:03:32,00:01:22,08:10:57
ironman-new-zealand-20160305.csv,22,David Nasvik,37,SE,SWE,00:53:45,---,---,00:03:25,---,DNF
ironman-new-zealand-20160305.csv,23,Young Hwan Oh,36,Intl State,KOR,00:59:18,04:56:46,03:07:20,00:04:00,00:02:19,09:09:43
ironman-new-zealand-20160305.csv,24,Michael Poole,25,FL,NZL,00:48:40,04:47:36,---,00:03:31,00:02:49,DNF
ironman-new-zealand-20160305.csv,25,Matt Randall,38,STL,NZL,00:57:51,05:00:03,03:45:18,00:04:16,00:02:09,09:49:37
ironman-new-zealand-20160305.csv,26,Matt Russell,33,FL,USA,00:56:23,04:28:28,02:45:10,00:03:30,00:01:54,08:15:25
ironman-new-zealand-20160305.csv,27,Chris Sanson,29,---,NZL,00:56:22,04:48:42,03:02:26,00:03:53,00:02:15,08:53:38
ironman-new-zealand-20160305.csv,29,Joe Skipper,28,---,GBR,00:53:11,04:25:11,02:45:51,00:03:51,00:01:33,08:09:37
ironman-new-zealand-20160305.csv,30,Swen Sundberg,42,DE,DEU,00:53:09,---,---,00:03:53,---,DNF
ironman-new-zealand-20160305.csv,31,Kaito Tohara,27,kanagawa,JPN,00:49:54,04:51:56,02:56:57,00:03:41,00:02:56,08:45:24
ironman-new-zealand-20160305.csv,32,Brad Williams,30,Intl State,USA,00:53:12,04:47:47,03:45:38,00:03:51,00:02:31,09:32:59
ironman-new-zealand-20160305.csv,40,Meredith Kessler,38,CA,USA,00:47:49,04:56:40,03:06:03,00:04:14,00:01:22,08:56:08
ironman-new-zealand-20160305.csv,41,Gina Crawford,35,Canterbury,NZL,00:50:47,05:12:42,03:22:30,00:04:13,00:02:39,09:32:51
