#File=ironman-regensburg-20120617.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-regensburg-20120617.csv,1,Michael Raelert,---,---,DEU,00:45:01,04:35:32,02:54:40,00:01:39,00:02:01,08:18:53
ironman-regensburg-20120617.csv,2,Dirk Bockel,35,FL,LUX,00:45:03,04:31:08,02:51:56,00:01:55,00:01:57,08:11:59
ironman-regensburg-20120617.csv,3,Petr Vabrousek,38,Intl State,CZE,00:51:03,04:50:06,03:02:06,00:02:18,00:02:20,08:47:53
ironman-regensburg-20120617.csv,4,Jarda Brynda,34,Intl State,CZE,00:50:20,05:09:31,03:21:35,00:02:18,00:02:40,09:26:24
ironman-regensburg-20120617.csv,5,Joan Capdevila,37,---,ESP,00:54:45,05:10:36,03:18:36,00:02:23,00:02:51,09:29:11
ironman-regensburg-20120617.csv,7,Jens Kaiser,33,---,DEU,00:57:00,04:43:28,02:58:48,00:02:30,00:02:11,08:43:57
ironman-regensburg-20120617.csv,8,Matjaz Kovac,39,---,SVN,00:53:35,05:08:07,03:42:23,00:02:20,00:03:35,09:50:00
ironman-regensburg-20120617.csv,9,Florian Kratz,32,---,DEU,01:01:22,05:25:02,03:52:42,00:02:22,00:02:10,10:23:38
ironman-regensburg-20120617.csv,11,Tomas Mika,25,Intl State,CZE,00:50:19,05:10:58,03:09:06,00:02:08,00:02:17,09:14:48
ironman-regensburg-20120617.csv,12,Marek Nemcik,36,Intl State,SVK,01:08:01,05:38:10,04:05:48,00:02:53,00:03:41,10:58:33
ironman-regensburg-20120617.csv,14,Craig Twigg,40,Other,GBR,00:50:19,04:48:37,---,00:02:14,00:02:57,DNF
ironman-regensburg-20120617.csv,16,Andreas Wolpert,32,---,DEU,00:54:35,04:50:15,03:05:22,00:02:21,00:02:52,08:55:25
ironman-regensburg-20120617.csv,17,Mike Schifferle,38,---,CHE,01:00:24,04:40:13,02:50:52,00:02:15,00:03:09,08:36:53
ironman-regensburg-20120617.csv,18,Daniel Halksworth,26,Intl State,GBR,00:45:05,04:52:18,03:08:59,00:01:59,00:02:17,08:50:38
ironman-regensburg-20120617.csv,50,Heidi Sessner,34,---,DEU,00:53:22,05:16:55,03:29:15,00:01:59,00:02:21,09:43:52
ironman-regensburg-20120617.csv,51,Monika Stadlmann,34,---,AUT,00:53:33,05:19:08,---,00:02:27,00:02:43,DNF
ironman-regensburg-20120617.csv,52,Ute Streiter,38,---,AUT,01:03:55,05:30:42,03:42:03,00:02:19,00:03:44,10:22:43
ironman-regensburg-20120617.csv,101,Anne Albersmann,55,---,DEU,01:06:48,06:30:20,04:44:11,00:04:19,00:04:45,12:30:23
ironman-regensburg-20120617.csv,102,Noemi Ambauen,---,---,CHE,01:16:20,06:59:06,05:09:39,00:06:26,00:04:02,13:35:33
ironman-regensburg-20120617.csv,103,Rebecca Bakke,36,CO,AUS,01:00:50,06:08:49,04:15:31,00:03:49,00:07:00,11:35:59
ironman-regensburg-20120617.csv,104,Nina Bakker,50,---,NLD,01:26:50,05:55:14,03:17:18,00:03:37,00:03:03,10:46:02
ironman-regensburg-20120617.csv,106,Nicola Barnes,---,---,GBR,01:28:56,07:22:20,05:52:36,00:09:04,00:08:03,15:00:59
ironman-regensburg-20120617.csv,107,Vanessa Bartsch,---,---,DEU,01:00:55,05:27:54,03:43:06,00:02:39,00:03:37,10:18:11
ironman-regensburg-20120617.csv,108,Anne Eifler,27,---,DEU,01:14:00,06:23:49,---,00:04:11,00:03:16,DNF
ironman-regensburg-20120617.csv,109,Simone Bayer,---,---,DEU,01:09:40,06:00:08,03:53:51,00:06:47,00:05:35,11:16:01
ironman-regensburg-20120617.csv,110,Patricia Beck,43,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,111,Galia Benjamini,46,---,ISR,01:35:10,06:58:11,04:45:45,00:07:52,00:05:59,13:32:57
ironman-regensburg-20120617.csv,112,Ursula Bircheneder,---,---,DEU,01:14:57,05:50:21,04:29:56,00:03:06,00:03:48,11:42:08
ironman-regensburg-20120617.csv,113,Anja Birner,33,DE,DEU,01:02:34,05:16:37,03:42:29,00:02:57,00:04:08,10:08:45
ironman-regensburg-20120617.csv,114,Andrea Blakeman,---,---,USA,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,115,Monica Bortolotti,39,treviso,ITA,01:31:43,06:19:51,04:11:42,00:04:08,00:04:06,12:11:30
ironman-regensburg-20120617.csv,116,Elisabeth Brama,-3,---,GBR,00:58:00,05:42:36,---,00:02:34,---,DNF
ironman-regensburg-20120617.csv,117,Olja Bregar,28,---,SVN,01:03:30,05:29:26,05:33:19,00:02:49,00:03:47,12:12:51
ironman-regensburg-20120617.csv,118,Nicole Bretting,40,---,DEU,01:04:55,05:14:11,03:25:39,00:02:59,00:02:34,09:50:18
ironman-regensburg-20120617.csv,119,Alessia Busoni,---,---,ITA,01:10:30,07:12:17,04:50:55,00:05:47,00:09:52,13:29:21
ironman-regensburg-20120617.csv,120,Antonella Cason,---,---,ITA,01:06:04,06:33:26,04:11:01,00:04:05,00:08:00,12:02:36
ironman-regensburg-20120617.csv,121,Heather Clouting,---,---,GBR,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,122,Lisa Cockburn,52,---,TTO,01:25:37,07:23:28,05:31:19,00:07:31,00:06:14,14:34:09
ironman-regensburg-20120617.csv,123,Vanessa Colless,37,---,AUS,01:07:41,05:39:05,03:38:27,00:03:14,00:02:34,10:31:01
ironman-regensburg-20120617.csv,124,Stephanie Crochet,---,---,FRA,01:31:13,07:09:20,04:14:34,00:05:43,00:07:59,13:08:49
ironman-regensburg-20120617.csv,125,Camilla Dani,---,---,ITA,01:07:50,06:16:35,04:11:32,00:04:00,00:04:58,11:44:55
ironman-regensburg-20120617.csv,126,Sandra Daenzer,39,---,CHE,01:08:08,05:17:56,04:08:44,00:03:43,00:03:06,10:41:37
ironman-regensburg-20120617.csv,127,Meredith Dolhare,38,NC,USA,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,128,Ulrika Eriksson,---,---,SWE,00:56:42,05:44:19,04:13:19,00:02:20,00:08:27,11:05:07
ironman-regensburg-20120617.csv,129,Eva Faãÿnacht,---,---,DEU,01:13:31,06:08:09,---,00:04:50,00:07:22,DNF
ironman-regensburg-20120617.csv,130,Celine Firma,---,---,FRA,00:57:53,06:38:35,06:56:45,00:04:12,00:10:46,14:48:11
ironman-regensburg-20120617.csv,131,Claudia Forero,---,---,COL,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,132,Sandra Fuchs,42,DE,DEU,01:11:22,05:48:59,04:20:40,00:03:00,00:02:49,11:26:50
ironman-regensburg-20120617.csv,133,Claire Fudge,32,west midlands,GBR,01:08:38,06:22:12,04:22:23,00:03:07,00:03:03,11:59:23
ironman-regensburg-20120617.csv,134,Gundula Gabriel,48,Italia,ITA,01:17:45,07:04:45,---,00:11:18,---,DNF
ironman-regensburg-20120617.csv,135,Dagmar Gard,34,---,DEU,00:59:58,05:34:09,03:54:01,00:02:54,00:03:07,10:34:09
ironman-regensburg-20120617.csv,136,Barbara Geilhof,29,IL,DEU,01:10:18,05:08:04,03:37:05,00:02:33,00:02:48,10:00:48
ironman-regensburg-20120617.csv,137,Karin Gerber,40,Intl State,CHE,01:07:54,05:15:12,03:30:45,00:03:34,00:03:06,10:00:31
ironman-regensburg-20120617.csv,138,Gabriela Harnischfeger,47,---,DEU,01:03:51,05:24:33,03:47:53,00:03:27,00:03:23,10:23:07
ironman-regensburg-20120617.csv,139,Fiona Harrington,---,---,GBR,01:11:16,07:17:52,05:36:50,00:07:07,00:09:04,14:22:09
ironman-regensburg-20120617.csv,140,Cassandra Harris,---,---,USA,01:07:13,07:12:06,05:52:04,00:05:50,00:11:11,14:28:24
ironman-regensburg-20120617.csv,141,Inga Haude,37,---,DEU,00:58:26,05:20:49,03:42:21,00:02:58,00:02:27,10:07:01
ironman-regensburg-20120617.csv,142,Marion Hebding,44,---,DEU,01:06:35,05:24:58,03:47:06,00:04:03,00:02:52,10:25:34
ironman-regensburg-20120617.csv,143,Verena Heller,32,---,DEU,00:53:56,05:46:37,04:57:47,00:02:38,00:07:55,11:48:53
ironman-regensburg-20120617.csv,144,Geraldine Hellings,50,---,GBR,01:21:22,08:10:07,05:08:32,00:09:02,00:11:49,15:00:52
ironman-regensburg-20120617.csv,145,Ramona Hemel,---,---,DEU,01:11:12,06:22:33,04:45:40,00:04:36,00:06:12,12:30:13
ironman-regensburg-20120617.csv,146,Ulla Henning,50,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,147,Doro Heyer,---,---,DEU,01:32:10,06:46:07,04:39:43,00:06:56,00:04:31,13:09:27
ironman-regensburg-20120617.csv,148,Martina Hidber-Disch,---,---,CHE,01:05:01,05:37:00,04:14:08,00:05:07,00:04:36,11:05:52
ironman-regensburg-20120617.csv,149,Meike Hoffmeister,42,---,DEU,01:10:21,05:54:47,03:45:45,00:04:03,00:03:05,10:58:01
ironman-regensburg-20120617.csv,150,Marion Hofmann,---,---,DEU,01:11:27,05:38:01,04:09:49,00:03:16,00:03:44,11:06:17
ironman-regensburg-20120617.csv,151,Angela Hornett,47,---,GBR,01:09:33,06:26:41,05:33:01,00:05:24,00:05:27,13:20:06
ironman-regensburg-20120617.csv,152,Paula Humby,42,Wicklow,IRL,01:17:58,06:56:41,05:01:07,00:04:56,00:07:15,13:27:57
ironman-regensburg-20120617.csv,153,Suzanne Jermyn,---,---,GBR,01:48:09,07:54:33,---,00:06:21,00:07:11,DNF
ironman-regensburg-20120617.csv,154,Julia Kaiser,53,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,155,Meylina Kandoy,48,ON,CAN,01:11:10,06:33:07,04:41:48,00:04:34,00:05:02,12:35:41
ironman-regensburg-20120617.csv,156,Doro Karbach,41,---,AUT,01:04:55,06:01:36,04:29:38,00:03:09,00:05:40,11:44:58
ironman-regensburg-20120617.csv,157,Jenny Kellner,25,---,DEU,01:17:51,06:56:27,05:52:08,00:07:39,00:05:57,14:20:02
ironman-regensburg-20120617.csv,158,Sabine Buxhofer,32,---,AUT,00:59:38,05:36:27,03:27:51,00:02:16,00:02:20,10:08:32
ironman-regensburg-20120617.csv,159,Karin Kerschensteiner,28,---,DEU,01:04:59,05:58:46,---,00:04:43,00:04:17,DNF
ironman-regensburg-20120617.csv,160,Sally Kift,32,Intl State,GBR,01:25:42,06:44:24,04:59:27,00:05:59,00:04:28,13:20:00
ironman-regensburg-20120617.csv,161,Valentina Kukrus,37,Russia,RUS,01:03:35,05:57:41,04:01:22,00:03:54,00:04:39,11:11:11
ironman-regensburg-20120617.csv,162,Astrid Kleemann,26,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,163,Myriam Klein,31,DE,DEU,01:07:35,05:28:35,03:24:03,00:03:11,00:02:52,10:06:16
ironman-regensburg-20120617.csv,164,Susanne Kluge-Credo,---,---,DEU,01:13:42,06:07:51,04:26:50,00:03:56,00:03:06,11:55:25
ironman-regensburg-20120617.csv,165,Therese Knag,---,---,NOR,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,166,Nicole Köhler,39,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,167,Edith Kowalski,---,---,DEU,01:23:39,06:30:09,04:50:01,00:04:16,00:04:22,12:52:27
ironman-regensburg-20120617.csv,168,Petra Anna Krallmann-Bruell,44,---,DEU,---,---,---,---,---,DNS
ironman-regensburg-20120617.csv,169,Angela Kühnlein,26,---,DEU,00:58:32,05:25:45,03:48:06,00:01:59,00:02:39,10:17:01
ironman-regensburg-20120617.csv,170,Claudia Lai,46,---,NLD,01:13:20,06:22:12,---,00:03:57,00:05:11,DNF
ironman-regensburg-20120617.csv,171,Javry Laurence,---,---,FRA,01:07:18,06:12:57,04:30:37,00:09:06,00:07:41,12:07:39
ironman-regensburg-20120617.csv,172,Maria Lemeseva,23,Intl State,RUS,01:02:19,05:20:26,03:23:53,00:03:02,00:02:51,09:52:31
