#File=ironman-south-africa-20130414.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-south-africa-20130414.csv,2,Cyril Viennot,34,---,FRA,00:52:18,04:35:17,02:48:35,00:01:56,00:01:45,08:19:51
ironman-south-africa-20130414.csv,3,Mike Aigroz,38,CH,CHE,00:49:58,04:37:40,03:49:32,00:01:40,00:01:37,09:20:27
ironman-south-africa-20130414.csv,4,Faris Al-Sultan,38,DE,DEU,00:49:43,---,---,00:01:51,---,DNF
ironman-south-africa-20130414.csv,5,James Cunnama,33,Intl State,ZAF,00:52:42,04:34:58,---,00:01:47,00:01:58,DNF
ironman-south-africa-20130414.csv,6,Petr Vabrousek,42,Czech republic,CZE,00:57:57,04:57:13,03:03:20,00:02:37,00:02:48,09:03:55
ironman-south-africa-20130414.csv,7,Ivan Alvarez Gomez,39,---,ESP,00:58:04,05:01:06,03:10:27,00:02:54,00:02:15,09:14:46
ironman-south-africa-20130414.csv,8,Nick Baldwin,28,Seychelles,SYC,00:54:24,04:45:32,03:03:58,00:01:50,00:02:17,08:48:01
ironman-south-africa-20130414.csv,9,Franãois Chabaud,---,FRAN,FRA,00:52:21,04:35:02,02:58:11,00:01:58,00:01:58,08:29:30
ironman-south-africa-20130414.csv,10,Greg Close,33,NY,USA,00:58:45,04:52:21,03:10:46,00:02:05,00:02:00,09:05:57
ironman-south-africa-20130414.csv,11,Michael Davidson,38,---,ZAF,00:55:21,04:44:15,03:03:13,00:02:11,00:02:40,08:47:40
ironman-south-africa-20130414.csv,12,Bas Diederen,36,---,NLD,00:49:27,04:38:15,02:48:48,00:01:48,00:01:51,08:20:09
ironman-south-africa-20130414.csv,13,Berger Dominik,---,---,AUT,00:49:29,04:37:52,03:12:22,00:02:07,00:02:03,08:43:53
ironman-south-africa-20130414.csv,14,Karol Džalaj,35,Intl State,SVK,00:57:52,04:33:48,03:09:34,00:02:09,00:02:19,08:45:42
ironman-south-africa-20130414.csv,15,Herve Faure,40,Intl State,FRA,00:52:47,04:34:20,03:02:48,00:02:17,00:02:08,08:34:20
ironman-south-africa-20130414.csv,16,Kent Horner,34,---,ZAF,00:49:31,04:37:59,03:13:14,00:01:56,00:01:52,08:44:32
ironman-south-africa-20130414.csv,17,Patrick Jaberg,36,---,CHE,00:53:34,04:37:32,03:32:13,00:02:10,00:03:02,09:08:31
ironman-south-africa-20130414.csv,18,Freddy Lampret,37,---,ZAF,---,---,---,---,---,DNS
ironman-south-africa-20130414.csv,19,Terrence Lowe,29,Gauteng,ZAF,01:07:15,05:09:42,03:12:55,00:02:07,00:01:38,09:33:37
ironman-south-africa-20130414.csv,20,Andrey Lyatskiy,29,---,---,00:50:07,---,---,00:01:59,---,DNF
ironman-south-africa-20130414.csv,21,Horst Reichel,34,---,DEU,00:49:44,04:37:56,02:50:38,00:01:48,00:02:28,08:22:34
ironman-south-africa-20130414.csv,23,Sylvain Rota,32,FR,FRA,00:55:01,---,---,00:01:37,---,DNF
ironman-south-africa-20130414.csv,24,Alejandro Santamaria,39,---,ESP,00:57:46,04:50:54,---,00:02:05,00:02:21,DNF
ironman-south-africa-20130414.csv,25,Stefan Schmid,29,---,DEU,---,---,---,---,---,DNS
ironman-south-africa-20130414.csv,26,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-south-africa-20130414.csv,27,Georg Swoboda,38,---,AUT,00:58:03,04:28:55,03:22:11,00:02:27,00:02:35,08:54:11
ironman-south-africa-20130414.csv,28,Craig Twigg,44,leicestershire,MNP,00:55:18,05:21:16,03:31:39,00:02:06,00:05:00,09:55:19
ironman-south-africa-20130414.csv,29,Jon Unanue Ayerza,35,---,ESP,00:49:17,04:56:13,03:19:35,00:01:53,00:03:23,09:10:21
ironman-south-africa-20130414.csv,30,Jan Van Berkel,30,---,CHE,00:50:41,---,---,00:01:50,---,DNF
ironman-south-africa-20130414.csv,32,Donovan Van Gelder,45,---,ZAF,00:58:22,04:51:42,---,00:02:24,00:02:44,DNF
ironman-south-africa-20130414.csv,33,Michael Wetzel,32,DE,DEU,00:57:44,04:53:13,03:10:11,00:02:12,00:02:24,09:05:44
ironman-south-africa-20130414.csv,34,Simone Braendli,35,---,CHE,00:54:43,05:00:56,03:31:59,00:02:30,00:02:16,09:32:24
ironman-south-africa-20130414.csv,35,Dianne McEwan,32,---,ZAF,00:57:52,05:16:43,03:18:57,00:02:13,00:02:00,09:37:45
ironman-south-africa-20130414.csv,36,Jodie Ann Swallow,35,Other,MNP,00:49:56,04:46:05,03:36:44,00:02:05,00:02:10,09:17:00
ironman-south-africa-20130414.csv,37,Lucie Zelenkova,42,---,CZE,00:52:17,05:11:31,03:18:59,00:01:58,00:02:22,09:27:07
ironman-south-africa-20130414.csv,38,Svetlana Blazevic,36,Intl State,---,00:52:50,05:22:13,03:48:07,00:02:37,00:02:55,10:08:42
ironman-south-africa-20130414.csv,39,Michelle Bremer,33,NSW,NZL,00:57:59,05:19:23,---,00:02:28,00:02:39,DNF
ironman-south-africa-20130414.csv,40,Joanna Carritt,40,---,MNP,01:06:53,05:13:21,03:51:36,00:02:30,00:02:39,10:16:59
ironman-south-africa-20130414.csv,41,Saleta Castro Nogueira,29,ES,ESP,00:57:48,05:16:53,04:06:59,00:02:16,00:03:32,10:27:28
ironman-south-africa-20130414.csv,42,Caroline Gregory,37,CA,USA,00:57:55,05:39:31,03:56:56,00:02:01,00:01:54,10:38:17
ironman-south-africa-20130414.csv,43,Katharina Grohmann,29,---,DEU,01:16:17,05:13:17,03:19:27,00:04:55,00:01:56,09:55:52
ironman-south-africa-20130414.csv,44,Monique Grossrieder,40,CH,CHE,01:07:08,05:13:23,03:23:11,00:02:26,00:02:14,09:48:22
ironman-south-africa-20130414.csv,45,Caroline Koll,39,ZA,ZAF,01:05:54,05:48:19,04:12:45,00:02:13,00:03:37,11:12:48
ironman-south-africa-20130414.csv,46,Jennifer Lentzke,30,AZ,CAN,01:18:08,05:34:49,03:48:37,00:04:29,00:03:41,10:49:44
ironman-south-africa-20130414.csv,47,Nina Pekerman,38,Intl State,ISR,01:04:36,05:15:05,03:33:50,00:03:14,00:02:28,09:59:13
