#ironman-st.-george-20110507.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-st.-george-20110507.csv,1,Michael Weiss,35,---,AUT,00:57:41,---,---,00:01:51,---,DNF
ironman-st.-george-20110507.csv,2,Ben Hoffman,33,CO,USA,00:52:30,04:41:48,03:04:24,00:01:32,00:01:25,08:41:39
ironman-st.-george-20110507.csv,4,Maik Twelsiek,35,AZ,DEU,00:52:28,04:36:20,03:01:36,00:01:42,00:01:40,08:33:46
ironman-st.-george-20110507.csv,5,Petr Vabrousek,42,Czech republic,CZE,00:56:51,04:57:11,03:07:38,00:07:26,00:02:05,09:11:11
ironman-st.-george-20110507.csv,6,Mike Aigroz,38,CH,CHE,00:49:31,04:49:34,02:59:36,00:01:55,00:01:30,08:42:06
ironman-st.-george-20110507.csv,7,Paul Ambrose,32,NSW,GBR,00:49:09,04:45:02,03:13:59,00:01:50,00:01:41,08:51:41
ironman-st.-george-20110507.csv,8,Christian Brader,36,---,DEU,00:57:31,05:02:16,03:05:13,00:01:29,00:01:50,09:08:19
ironman-st.-george-20110507.csv,9,Matt Burgess,27,---,NZL,---,---,---,---,---,DNS
ironman-st.-george-20110507.csv,10,Bruno Clerbout,39,---,BEL,00:52:32,05:09:40,03:30:25,00:01:37,00:02:58,09:37:12
ironman-st.-george-20110507.csv,11,Balázs Csoke,33,TX,HUN,00:49:13,---,---,00:01:44,---,DNF
ironman-st.-george-20110507.csv,12,Scott Defilippis,36,NJ,USA,00:59:37,05:20:03,03:31:20,00:02:10,00:04:55,09:58:05
ironman-st.-george-20110507.csv,15,Mathias Hecht,36,Intl State,CHE,00:49:16,04:42:32,02:56:50,00:01:47,00:01:38,08:32:03
ironman-st.-george-20110507.csv,18,Joe Mcdaniel,34,OH,USA,00:52:28,05:04:50,03:25:16,00:02:01,00:01:52,09:26:27
ironman-st.-george-20110507.csv,19,Bevan Mckinnon,44,---,NZL,00:54:24,05:00:00,03:13:30,00:02:00,00:02:43,09:12:37
ironman-st.-george-20110507.csv,20,Ernst Moser,36,---,AUT,00:57:28,05:01:28,03:11:55,00:02:20,00:01:24,09:14:35
ironman-st.-george-20110507.csv,21,Jeff Paul,36,IA,USA,01:04:03,---,---,00:02:02,---,DNF
ironman-st.-george-20110507.csv,22,Alejandro Santamaria,39,---,ESP,00:56:55,04:58:35,03:05:55,00:01:45,00:01:28,09:04:38
ironman-st.-george-20110507.csv,23,Markus Strini,43,---,AUT,01:06:16,05:18:34,03:46:32,00:02:35,00:05:54,10:19:51
ironman-st.-george-20110507.csv,24,Heath Thurston,38,UT,USA,00:50:17,05:10:22,03:34:51,00:01:48,00:32:00,10:09:18
ironman-st.-george-20110507.csv,25,Tj Tollakson,36,IA,USA,00:49:18,04:49:25,02:58:02,00:01:35,00:02:00,08:40:20
ironman-st.-george-20110507.csv,26,Luke Way,34,AB,CAN,00:59:40,05:17:12,03:13:46,00:02:15,00:01:57,09:34:50
ironman-st.-george-20110507.csv,27,Chris Wichert,32,WI,USA,01:01:09,05:11:23,---,00:02:39,00:02:59,DNF
ironman-st.-george-20110507.csv,28,Dantley Young,31,UT,USA,01:01:15,05:28:12,---,00:02:21,00:02:59,DNF
ironman-st.-george-20110507.csv,36,Heather Wurtele,37,BC,CAN,00:55:00,05:17:00,03:14:50,00:01:49,00:01:54,09:30:33
ironman-st.-george-20110507.csv,37,Meredith Kessler,38,CA,USA,00:51:28,05:22:03,---,00:02:02,00:01:38,DNF
ironman-st.-george-20110507.csv,38,Jodie Ann Swallow,35,Other,GBR,00:49:29,05:17:43,---,00:01:39,00:01:24,DNF
ironman-st.-george-20110507.csv,40,Miranda Alldritt,39,BC,CAN,01:06:23,06:00:55,04:40:39,00:01:44,00:02:04,11:51:45
ironman-st.-george-20110507.csv,41,Jackie Hering,31,WI,USA,00:55:03,05:39:17,03:28:19,00:02:10,00:01:47,10:06:36
ironman-st.-george-20110507.csv,42,Uli Bromme,35,CO,USA,01:04:03,05:30:52,03:30:39,00:02:35,00:02:39,10:10:48
ironman-st.-george-20110507.csv,43,Amber Ferreira,34,NH,USA,00:56:45,06:23:05,04:09:59,00:02:33,00:03:41,11:36:03
ironman-st.-george-20110507.csv,45,Tamara Kozulina,40,Intl State,UKR,01:06:23,05:44:20,03:48:12,00:02:06,00:02:36,10:43:37
ironman-st.-george-20110507.csv,46,Kelly Liljeblad,44,CO,USA,01:06:26,05:49:07,04:01:33,00:02:08,00:01:56,11:01:10
ironman-st.-george-20110507.csv,48,Liis Toomingas,33,---,EST,00:59:42,05:44:50,03:47:02,00:02:41,00:02:21,10:36:36
ironman-st.-george-20110507.csv,56,Chris Chandler,36,CA,USA,01:13:50,07:00:15,06:53:20,00:10:48,00:13:47,15:32:00
ironman-st.-george-20110507.csv,57,Aubree Heninger,23,AZ,USA,01:09:02,07:48:11,06:20:12,00:09:21,00:13:04,15:39:50
ironman-st.-george-20110507.csv,58,Jane D'Ambrosia,27,NY,USA,00:57:15,06:33:53,04:24:54,00:04:41,00:06:36,12:07:19
ironman-st.-george-20110507.csv,59,Kira Datwyler,27,UT,USA,01:14:14,06:41:12,04:37:48,00:07:31,00:06:16,12:47:01
ironman-st.-george-20110507.csv,60,Julie Dickerson,27,NJ,USA,01:17:55,07:48:56,04:57:36,00:03:52,00:04:16,14:12:35
ironman-st.-george-20110507.csv,61,Amber Every,28,UT,USA,01:38:33,08:35:50,---,00:11:05,00:01:34,DNF
ironman-st.-george-20110507.csv,62,Ashley Storm,28,CO,USA,01:25:48,08:33:34,06:08:34,00:11:44,00:10:09,16:29:49
ironman-st.-george-20110507.csv,63,Luiza De Franco Tobar,29,SP,BRA,01:17:55,06:15:56,04:12:50,00:02:21,00:02:14,11:51:16
ironman-st.-george-20110507.csv,64,Danielle Mack,29,CO,USA,01:09:11,05:47:58,03:44:27,00:03:01,00:02:07,10:46:44
ironman-st.-george-20110507.csv,65,Robyn Kiser,29,UT,USA,01:18:51,07:56:51,05:33:43,00:05:46,00:06:26,15:01:37
ironman-st.-george-20110507.csv,66,Katharina Grohmann,29,---,DEU,01:13:07,05:43:54,03:51:13,00:03:10,00:02:03,10:53:27
ironman-st.-george-20110507.csv,67,Kara Lapoint,29,CA,USA,01:11:22,06:20:13,04:21:23,00:05:56,00:06:38,12:05:32
ironman-st.-george-20110507.csv,68,Moka Best,29,UT,USA,01:23:47,07:49:38,07:16:17,00:11:00,00:08:56,16:49:38
ironman-st.-george-20110507.csv,69,Maryclaire Peroutka,30,VA,USA,01:04:33,07:02:50,05:27:46,00:03:31,00:04:30,13:43:10
ironman-st.-george-20110507.csv,70,Ashley Clifford,30,FL,USA,00:57:17,06:29:54,04:28:31,00:05:40,00:03:39,12:05:01
ironman-st.-george-20110507.csv,71,Anastasia Delafield,30,IL,USA,---,---,---,---,---,DNS
ironman-st.-george-20110507.csv,72,Alison Taylor,30,UT,USA,01:15:39,06:07:38,05:27:23,00:06:12,00:04:45,13:01:37
ironman-st.-george-20110507.csv,73,Emily Yantis,30,TX,USA,01:12:32,---,---,00:06:22,---,DNF
ironman-st.-george-20110507.csv,74,Andrea Humphrey,30,OR,USA,01:18:17,07:47:03,05:10:49,00:04:43,00:04:00,14:24:52
ironman-st.-george-20110507.csv,75,Cristina Mata,30,---,PAN,01:20:53,06:02:03,04:33:53,00:03:06,00:01:42,12:01:37
ironman-st.-george-20110507.csv,76,Jennifer Johnson,30,UT,USA,01:10:31,06:40:39,04:28:26,00:05:51,00:06:09,12:31:36
