#ironman-switzerland-20110710.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-switzerland-20110710.csv,1,Ronnie Schildknecht,36,---,CHE,00:53:18,04:36:11,02:48:43,00:00:42,00:00:57,08:19:51
ironman-switzerland-20110710.csv,2,Swen Sundberg,42,DE,---,---,---,---,---,---,DNS
ironman-switzerland-20110710.csv,3,Mike Aigroz,38,CH,CHE,00:53:16,04:52:34,02:50:21,00:00:44,00:01:26,08:38:21
ironman-switzerland-20110710.csv,4,Stefan Riesen,43,---,CHE,01:00:20,04:44:18,01:45:07,00:01:00,00:00:54,DNF
ironman-switzerland-20110710.csv,5,Mathias Hecht,36,Intl State,CHE,00:51:11,04:35:20,03:01:59,00:00:49,00:01:07,08:30:26
ironman-switzerland-20110710.csv,6,Daniel Fontana,40,Milano,ITA,00:51:12,---,---,00:00:48,00:51:12,DNF
ironman-switzerland-20110710.csv,7,Mike Schifferle,43,---,CHE,01:01:55,04:48:57,03:00:19,00:01:04,00:01:42,08:53:57
ironman-switzerland-20110710.csv,8,Rafael Wyss,33,Zürich,CHE,01:03:04,04:48:43,02:57:28,00:01:12,00:01:09,08:51:36
ironman-switzerland-20110710.csv,9,Ueli Bieler,35,---,CHE,01:05:12,04:56:18,03:03:16,00:01:09,00:01:13,09:07:08
ironman-switzerland-20110710.csv,10,Daniel Mueller,39,---,DEU,00:55:36,05:08:31,03:40:10,00:00:54,00:01:11,09:46:22
ironman-switzerland-20110710.csv,11,Christian Brader,36,---,---,01:00:15,05:04:45,---,00:00:50,00:01:38,DNF
ironman-switzerland-20110710.csv,13,Pedro Gomes,32,AZ,PRT,---,---,---,---,---,DNS
ironman-switzerland-20110710.csv,14,Damien Landon,34,FR,FRA,00:55:43,05:26:52,03:24:32,00:01:17,00:01:31,09:49:55
ironman-switzerland-20110710.csv,15,Massimiliano Sansone,31,---,ITA,01:03:38,---,---,00:01:35,01:03:38,DNF
ironman-switzerland-20110710.csv,16,Cyril Viennot,34,---,FRA,00:55:37,04:52:01,02:46:34,00:00:53,00:00:57,08:36:02
ironman-switzerland-20110710.csv,17,Bo Ballegaard,---,---,---,---,---,---,---,---,DNS
ironman-switzerland-20110710.csv,18,Sergio Marques,35,Lisboa,---,00:58:03,04:57:03,02:50:48,00:00:57,00:01:10,08:48:01
ironman-switzerland-20110710.csv,19,Erich Kunz,37,---,---,00:58:17,---,---,00:00:43,00:58:17,DNF
ironman-switzerland-20110710.csv,21,Clemente Alonso-Mckernan,38,ES,---,00:51:04,04:51:38,02:41:58,00:00:56,00:02:20,08:27:56
ironman-switzerland-20110710.csv,22,Marek Nemcik,40,Intl State,---,01:14:17,05:57:26,04:29:01,00:02:05,00:02:00,11:44:49
ironman-switzerland-20110710.csv,23,Brandon Marsh,41,TX,---,---,---,---,---,---,DNS
ironman-switzerland-20110710.csv,31,Karin Thuerig,44,---,CHE,01:02:41,04:51:19,03:06:41,00:01:22,00:01:23,09:03:26
ironman-switzerland-20110710.csv,32,Erika Csomor,42,---,HUN,01:00:23,05:24:31,03:09:59,00:00:57,00:01:09,09:36:59
ironman-switzerland-20110710.csv,33,Regula Rohrbach,41,---,CHE,01:00:27,05:14:29,03:23:45,00:01:57,00:01:40,09:42:18
ironman-switzerland-20110710.csv,34,Miranda Alldritt,39,BC,CAN,01:10:32,07:30:49,04:07:45,00:01:21,00:02:00,12:52:27
