#File=ironman-switzerland-20140727.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-switzerland-20140727.csv,1,Pete Jacobs,32,QLD,AUS,00:51:27,05:37:47,04:56:41,00:07:06,00:09:38,11:42:39
ironman-switzerland-20140727.csv,2,Jan Van Berkel,28,---,CHE,00:51:15,04:39:00,03:12:04,00:02:08,00:02:06,08:46:33
ironman-switzerland-20140727.csv,4,Mathias Hecht,34,Intl State,CHE,00:51:20,---,---,00:02:20,---,DNF
ironman-switzerland-20140727.csv,5,Boris Stein,29,---,DEU,00:58:49,04:35:55,02:53:49,00:02:09,00:02:20,08:33:02
ironman-switzerland-20140727.csv,6,Mike Schifferle,41,---,CHE,01:04:21,05:07:32,03:15:17,00:02:21,00:03:46,09:33:17
ironman-switzerland-20140727.csv,7,Stephen Bayliss,35,Intl State,GBR,00:51:10,04:43:19,---,00:02:00,00:02:19,DNF
ironman-switzerland-20140727.csv,8,Michael Goehner,34,---,DEU,00:56:46,---,---,00:02:11,---,DNF
ironman-switzerland-20140727.csv,9,Sergio Marques,33,Lisboa,PRT,01:00:50,04:57:54,03:04:37,00:02:17,00:02:35,09:08:13
ironman-switzerland-20140727.csv,10,David Plese,30,Intl State,SVN,00:56:44,04:37:35,02:54:51,00:02:11,00:02:52,08:34:13
ironman-switzerland-20140727.csv,11,Filip Ospaly,38,CZE,CZE,00:51:12,04:45:39,03:01:17,00:02:09,00:03:06,08:43:23
ironman-switzerland-20140727.csv,12,Joe Skipper,26,---,GBR,---,---,---,---,---,DNS
ironman-switzerland-20140727.csv,13,Marek Jaskolka,38,Other,POL,00:51:23,04:51:09,02:53:46,00:02:01,00:02:21,08:40:40
ironman-switzerland-20140727.csv,14,Denis Chevrot,26,---,FRA,---,---,---,---,---,DNS
ironman-switzerland-20140727.csv,15,Reto Stutz,37,CH,CHE,01:00:56,04:35:08,03:19:53,00:03:06,00:02:57,09:02:00
ironman-switzerland-20140727.csv,16,Dominic Rohan-Gates,30,---,GBR,---,---,---,---,---,DNS
ironman-switzerland-20140727.csv,17,Remmert Wielanga,36,---,NLD,---,---,---,---,---,DNS
