#File=ironman-taiwan-20161002.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-taiwan-20161002.csv,1,Patrick Evoe,39,CO,---,00:54:14,04:29:46,03:34:28,00:02:38,00:02:11,09:03:17
ironman-taiwan-20161002.csv,2,Guy Crawford,37,ID,---,00:51:49,04:32:00,04:00:07,00:02:41,00:02:36,09:29:13
ironman-taiwan-20161002.csv,3,Antony Costes,26,---,---,00:51:49,04:45:48,---,00:02:39,00:01:46,DNF
ironman-taiwan-20161002.csv,4,Gudmund Snilstveit,34,---,---,01:00:38,---,---,00:03:18,---,DNF
ironman-taiwan-20161002.csv,5,Simon Cochrane,32,WKO,---,00:51:46,04:50:09,04:20:11,00:02:46,00:02:22,10:07:14
ironman-taiwan-20161002.csv,6,Kaito Tohara,27,kanagawa,---,00:55:17,04:47:27,03:09:51,00:02:32,00:01:40,08:56:47
ironman-taiwan-20161002.csv,7,Patrick Jaberg,36,---,---,00:54:47,04:35:20,03:39:26,00:02:20,00:02:41,09:14:34
ironman-taiwan-20161002.csv,8,Simon Billeau,34,WA,---,00:55:13,04:34:51,---,00:02:30,00:02:04,DNF
ironman-taiwan-20161002.csv,9,Yu Shinozaki,32,Intl State,---,01:00:31,05:04:12,---,00:02:25,---,DNF
ironman-taiwan-20161002.csv,10,Andreas Niedrig,48,Other,---,00:52:02,04:37:39,---,00:02:49,00:02:35,DNF
ironman-taiwan-20161002.csv,11,Zsombor Deak,27,NSW,---,00:58:16,05:18:01,04:05:25,00:03:02,00:07:54,10:32:38
ironman-taiwan-20161002.csv,13,Gerhard De Bruin,32,---,---,00:53:55,04:42:53,03:30:19,00:03:05,00:01:39,09:11:51
ironman-taiwan-20161002.csv,14,Jordan Bryden,29,AB,---,00:51:33,04:31:49,04:26:48,00:03:02,00:02:22,09:55:34
ironman-taiwan-20161002.csv,15,Balazs Csoke,33,TX,---,00:49:05,05:44:06,---,00:02:27,---,DNF
ironman-taiwan-20161002.csv,16,Adam Gordon,33,QLD,---,00:53:57,04:43:06,03:19:38,00:02:22,00:06:52,09:05:55
ironman-taiwan-20161002.csv,17,Allister Caird,29,WA,---,00:55:15,04:33:27,04:34:25,00:02:33,00:01:34,10:07:14
ironman-taiwan-20161002.csv,18,Levi Maxwell,27,VIC,---,00:54:20,04:47:53,03:31:13,00:02:16,00:01:52,09:17:34
ironman-taiwan-20161002.csv,19,Derek Cross,37,WA,---,---,---,---,---,---,DNS
ironman-taiwan-20161002.csv,20,Eneko Elosegi,33,---,---,01:00:34,04:44:13,03:45:59,00:02:47,00:02:15,09:35:48
ironman-taiwan-20161002.csv,22,Daniel Fontana,40,Milano,---,00:51:26,04:32:35,03:12:53,00:02:28,00:01:23,08:40:45
ironman-taiwan-20161002.csv,31,Shiao-Yu Li,39,---,---,01:06:04,05:13:07,03:45:41,00:03:24,00:02:27,10:10:43
ironman-taiwan-20161002.csv,32,Danielle Mack,29,CO,---,01:02:52,05:10:55,03:31:32,00:03:03,00:01:41,09:50:03
ironman-taiwan-20161002.csv,33,Keiko Tanaka,31,Intl State,---,00:57:08,---,---,00:02:54,---,DNF
ironman-taiwan-20161002.csv,34,Katharina Grohmann,28,---,---,01:09:39,05:06:53,03:59:01,00:02:55,00:02:42,10:21:10
ironman-taiwan-20161002.csv,35,Emi Sakai,36,Tokyo,---,01:09:49,06:20:36,04:01:45,00:02:41,00:03:00,11:37:51
ironman-taiwan-20161002.csv,37,Stef Puszka,31,NT,---,01:05:19,05:41:42,04:34:24,00:03:20,00:02:26,11:27:11
ironman-taiwan-20161002.csv,38,Ali Fitch,43,NT,---,01:01:15,06:11:20,05:23:33,00:03:42,00:03:08,12:42:58
ironman-taiwan-20161002.csv,39,Jana Candova,40,Intl State,---,01:08:59,05:31:44,04:03:34,00:03:36,00:02:11,10:50:04
ironman-taiwan-20161002.csv,101,Reika Yagami,21,千葉県,---,01:08:39,08:21:11,---,00:06:26,00:07:40,DNF
ironman-taiwan-20161002.csv,102,Yaqi Yang,22,Shanghai,---,02:08:37,07:00:10,05:29:23,00:12:02,00:05:33,14:55:45
ironman-taiwan-20161002.csv,103,Zhishuai Zhang,24,Beijing,---,01:44:28,07:14:39,06:45:49,00:07:32,00:05:32,15:58:00
ironman-taiwan-20161002.csv,104,Sarah Virginia Costeira,26,"
Jakarta",---,01:31:04,06:47:24,05:11:49,00:07:27,00:09:47,13:47:31
ironman-taiwan-20161002.csv,105,Ya Ting Chuang,28,---,---,01:47:59,06:28:42,04:17:21,00:16:29,00:12:17,13:02:48
ironman-taiwan-20161002.csv,106,Jing Bai,28,北京,---,01:24:46,06:30:12,05:58:18,00:05:24,00:04:37,14:03:17
ironman-taiwan-20161002.csv,107,Yuri Nakagawa,28,TOKYO,---,01:32:46,08:09:40,06:05:29,00:11:08,00:08:40,16:07:43
ironman-taiwan-20161002.csv,108,Kelly Crockett,29,China,---,01:08:22,06:30:54,04:49:38,00:05:47,00:07:53,12:42:34
ironman-taiwan-20161002.csv,109,Elinor Malicdem,29,"Pasig, NCR ",---,01:49:15,04:56:45,06:15:42,00:11:42,02:05:50,15:19:14
ironman-taiwan-20161002.csv,110,Caroline Orcena,29,---,---,01:25:17,08:46:18,05:42:46,00:09:46,00:04:11,DNF
ironman-taiwan-20161002.csv,111,Jingjing Huang,29,安徽,---,01:21:36,07:49:14,06:10:52,00:10:17,00:11:55,15:43:54
ironman-taiwan-20161002.csv,112,Fujihara Mio,30,大阪府,---,01:32:19,06:53:38,07:40:12,00:08:48,00:12:17,16:27:14
ironman-taiwan-20161002.csv,113,Chia-Lu Chen,30,TW,---,01:47:39,08:15:20,---,00:22:46,00:12:07,DNF
ironman-taiwan-20161002.csv,114,Jennifer Hsieh,31,CA,---,01:12:42,06:17:54,04:49:25,00:06:01,00:03:14,12:29:16
ironman-taiwan-20161002.csv,115,Xiulan Shi,31,广东省,---,02:15:44,07:46:15,05:56:23,00:10:00,00:07:35,16:15:57
ironman-taiwan-20161002.csv,116,Chun-Jie Li,32,---,---,01:18:45,05:49:20,06:23:53,00:05:18,00:03:41,13:40:57
ironman-taiwan-20161002.csv,117,Joanne Sheng,32,HI,---,01:08:32,08:18:28,06:22:48,00:05:11,00:06:16,16:01:15
ironman-taiwan-20161002.csv,118,Naoko Sugita,32,北海道,---,01:45:11,07:42:19,05:37:52,00:14:24,00:08:20,15:28:06
ironman-taiwan-20161002.csv,119,Yuanshun Weng,32,---,---,01:40:42,06:36:55,04:17:36,00:06:26,00:07:55,12:49:34
ironman-taiwan-20161002.csv,120,Lisa Chiang,33,TW,---,01:38:59,07:48:48,05:38:26,00:14:06,00:08:20,15:28:39
ironman-taiwan-20161002.csv,122,Stella Chen He,33,---,---,01:33:26,07:39:51,06:24:16,00:19:42,00:11:40,16:08:55
ironman-taiwan-20161002.csv,123,Yuko Iwamatsu,33,HYOGO,---,01:11:41,06:43:52,---,00:08:21,00:07:27,DNF
ironman-taiwan-20161002.csv,124,Shu Ye,33,北京,---,01:41:14,07:30:29,06:18:26,00:16:47,00:14:11,16:01:07
ironman-taiwan-20161002.csv,125,Ruth Chen,33,---,---,01:17:17,07:29:44,05:10:54,00:11:54,00:16:25,14:26:14
ironman-taiwan-20161002.csv,126,Angel Ng,33,---,---,02:10:44,---,---,00:07:29,---,DNF
ironman-taiwan-20161002.csv,127,Miki Osanai,34,aichi,---,01:11:01,06:05:57,04:44:34,00:04:47,00:02:40,12:08:59
ironman-taiwan-20161002.csv,128,YanLin Deng,---,广东省,---,01:40:47,07:12:43,05:48:41,00:18:13,00:19:56,15:20:20
ironman-taiwan-20161002.csv,129,Yu Ju Lo,35,TW,---,01:31:03,08:00:49,06:25:34,00:13:49,00:11:01,16:22:16
ironman-taiwan-20161002.csv,130,Dan Luo,34,上海,---,01:49:29,06:50:40,05:55:13,00:12:27,00:06:22,14:54:11
ironman-taiwan-20161002.csv,131,Maria Corazon Sanchez,35,ACT,---,01:44:43,07:27:20,06:14:37,00:15:12,00:09:07,15:50:59
ironman-taiwan-20161002.csv,132,Shan Na,35,北京市,---,02:22:44,07:47:27,---,00:16:25,00:11:16,DNF
ironman-taiwan-20161002.csv,133,Wen Chi Su,34,---,---,01:33:53,06:42:26,04:14:45,00:09:40,00:04:05,12:44:49
ironman-taiwan-20161002.csv,134,Alva Burke,35,VIC,---,01:57:02,07:45:16,06:17:10,00:11:04,00:12:35,16:23:07
ironman-taiwan-20161002.csv,135,Ching Hua Hsiao,36,TW,---,01:45:41,08:24:57,06:01:50,00:16:42,00:16:38,16:45:48
ironman-taiwan-20161002.csv,136,Yan Jin,36,北京,---,01:25:47,06:08:56,07:14:06,00:10:17,00:08:41,15:07:47
ironman-taiwan-20161002.csv,137,Ching Wei Liu,35,---,---,01:32:39,08:00:25,07:01:06,00:12:02,00:07:44,16:53:56
ironman-taiwan-20161002.csv,138,Inge Prasetyo,36,"
DKI Jakarta",---,01:05:59,06:01:21,04:16:00,00:04:06,00:05:39,11:33:05
ironman-taiwan-20161002.csv,139,沈聪慧 Shen,36,shanghai,---,01:36:18,08:12:27,06:33:24,00:15:13,00:08:56,16:46:18
ironman-taiwan-20161002.csv,140,Shu Chen Chou,36,---,---,---,---,---,---,---,DNS
ironman-taiwan-20161002.csv,141,Andrea Haslebacher,37,---,---,01:02:09,05:36:08,---,00:04:08,00:03:46,DNF
ironman-taiwan-20161002.csv,142,Lili Li,37,Guangxi,---,02:15:50,08:00:32,05:21:37,00:11:11,00:06:03,15:55:13
ironman-taiwan-20161002.csv,143,Yi-Fang Lee,37,---,---,01:20:59,06:36:11,05:37:39,00:08:18,00:05:58,13:49:05
ironman-taiwan-20161002.csv,144,Mandy Tik,37,---,---,01:06:56,06:04:26,04:47:02,00:04:10,00:03:21,12:05:55
ironman-taiwan-20161002.csv,145,Suet Fan Wong,38,---,---,01:13:36,06:59:01,04:32:31,00:06:30,00:05:40,12:57:18
