#File=ironman-texas-20130518.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-texas-20130518.csv,1,Justin Daerr,32,CO,USA,00:54:35,04:29:30,03:02:04,00:02:00,00:02:26,08:30:35
ironman-texas-20130518.csv,2,Mathias Hecht,32,Intl State,CHE,00:50:06,04:30:16,---,00:02:02,00:03:30,DNF
ironman-texas-20130518.csv,3,Jozsef Major,34,AZ,HUN,01:00:51,04:31:02,---,00:02:40,00:03:23,DNF
ironman-texas-20130518.csv,4,Chris Mcdonald,35,CO,USA,00:55:46,04:32:16,---,00:01:54,00:02:42,DNF
ironman-texas-20130518.csv,5,Bryan Rhodes,40,CAN,NZL,00:49:18,04:47:49,---,00:02:04,---,DNF
ironman-texas-20130518.csv,6,Jan Raphael,33,DE,DEU,00:50:17,04:33:34,03:13:25,00:02:15,00:03:03,08:42:34
ironman-texas-20130518.csv,7,Matt Russell,30,FL,USA,01:01:58,05:40:35,---,00:01:57,---,DNF
ironman-texas-20130518.csv,8,Pedro Gomes,29,DXB,PRT,00:53:58,04:30:11,03:39:33,00:01:59,00:02:26,09:08:07
ironman-texas-20130518.csv,9,Paul Amey,39,---,GBR,00:54:54,04:29:07,02:56:18,00:02:03,00:02:44,08:25:06
ironman-texas-20130518.csv,10,Balazs Csoke,29,TX,HUN,00:49:21,04:38:54,03:10:45,00:01:59,00:03:02,08:44:01
ironman-texas-20130518.csv,11,James Cunnama,30,---,ZAF,00:50:17,04:32:55,03:00:25,00:01:54,00:02:04,08:27:35
ironman-texas-20130518.csv,12,Mike Hermanson,26,KY,USA,00:59:13,05:20:02,---,00:02:58,00:10:20,DNF
ironman-texas-20130518.csv,13,Patrick Wheeler,28,MA,USA,00:58:51,05:06:17,04:34:30,00:03:00,00:04:44,10:47:22
ironman-texas-20130518.csv,14,Mike Schifferle,39,---,CHE,01:04:22,04:33:37,03:10:37,00:02:28,00:05:02,08:56:06
ironman-texas-20130518.csv,15,Kevin Danahy,37,DE,USA,---,---,---,---,---,DNS
ironman-texas-20130518.csv,16,Aj Baucco,26,OH,USA,00:54:41,04:37:34,03:16:22,00:02:11,00:02:49,08:53:37
ironman-texas-20130518.csv,17,Dominik Berger,30,---,AUT,00:50:17,04:34:37,03:37:04,00:01:57,00:03:36,09:07:31
ironman-texas-20130518.csv,18,James Lamastra,37,OH,USA,00:53:23,04:40:11,04:14:51,00:02:17,00:05:06,09:55:48
ironman-texas-20130518.csv,19,Anthony Toth,32,BC,CAN,01:01:32,05:28:01,---,00:02:20,---,DNF
ironman-texas-20130518.csv,20,Ian Mikelson,32,CA,USA,00:51:55,04:32:01,03:01:59,00:01:51,00:02:20,08:30:06
ironman-texas-20130518.csv,21,Tim Snow,37,MA,USA,---,---,---,---,---,DNS
ironman-texas-20130518.csv,22,Ryan Cain,32,ON,CAN,00:59:59,04:42:06,---,00:02:16,00:02:45,DNF
ironman-texas-20130518.csv,23,Patrick Schuster,41,TX,USA,01:11:00,04:39:39,03:35:39,00:02:41,00:03:12,09:32:11
ironman-texas-20130518.csv,24,Matthew Sheeks,29,WA,USA,---,---,---,---,---,DNS
ironman-texas-20130518.csv,25,Andres Castillo Latorre,30,---,COL,00:49:14,04:34:45,03:33:17,00:02:10,00:02:38,09:02:04
ironman-texas-20130518.csv,26,Jason Watson,33,Other,USA,01:01:54,05:14:42,---,00:03:04,00:09:31,DNF
ironman-texas-20130518.csv,27,Swen Sundberg,39,Eastern Cape,DEU,00:54:12,04:29:56,03:08:22,00:01:55,00:03:05,08:37:30
ironman-texas-20130518.csv,28,Hirotsugu Kuwabara,33,---,JPN,00:54:29,04:56:45,---,00:02:08,---,DNF
ironman-texas-20130518.csv,29,Thomas Gerlach,31,FL,USA,00:57:51,04:34:27,---,00:02:12,00:03:10,DNF
ironman-texas-20130518.csv,30,Richard Wygand,32,FL,USA,---,---,---,---,---,DNS
ironman-texas-20130518.csv,31,Robbie Wade,31,CO,IRL,---,---,---,---,---,DNS
ironman-texas-20130518.csv,33,Christian Brader,33,---,DEU,00:59:02,04:45:20,03:24:03,00:02:11,00:02:45,09:13:21
ironman-texas-20130518.csv,34,Brett Carter,32,---,AUS,00:49:13,08:34:40,---,00:02:01,---,DNF
ironman-texas-20130518.csv,35,Andrew Hodges,29,AL,USA,00:51:52,05:06:39,03:29:26,00:02:15,00:03:30,09:33:42
