#ironman-uk-20150719.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-uk-20150719.csv,1,Stephen Bayliss,37,Surrey,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,2,Fraser Cartmell,34,Intl State,GBR,00:48:28,04:58:39,02:59:52,00:02:38,00:01:29,08:51:06
ironman-uk-20150719.csv,3,William Clarke,31,Leicestershire,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,4,Joe Skipper,28,---,GBR,00:56:06,04:58:30,02:55:44,00:03:20,00:01:58,08:55:38
ironman-uk-20150719.csv,5,Oliver Simon,36,---,GBR,00:51:36,05:20:29,03:19:05,00:02:54,00:03:36,09:37:40
ironman-uk-20150719.csv,6,David Mcnamee,28,APO,GBR,00:48:01,05:02:34,02:51:48,00:02:30,00:01:44,08:46:37
ironman-uk-20150719.csv,7,Simon Brierley,37,Paphos,SYC,01:00:41,06:00:03,03:48:09,00:03:47,00:10:34,11:03:14
ironman-uk-20150719.csv,8,Denis Chevrot,28,---,FRA,00:48:06,05:08:51,03:05:38,00:02:47,00:03:47,09:09:09
ironman-uk-20150719.csv,9,Sam Millar Clark,26,BOP,NZL,00:57:29,05:17:19,03:07:09,00:03:21,00:03:08,09:28:26
ironman-uk-20150719.csv,10,Víctor Del Corral,36,---,ESP,00:55:54,05:00:07,02:56:32,00:03:11,00:03:01,08:58:45
ironman-uk-20150719.csv,11,David Dellow,37,QLD,AUS,00:48:32,---,---,00:02:52,---,DNF
ironman-uk-20150719.csv,12,Dominic Rohan-Gates,32,---,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,13,Shinozaki Yu,32,kanagawa,JPN,00:56:48,05:27:38,03:52:14,00:02:55,00:03:19,10:22:54
ironman-uk-20150719.csv,14,Brad Williams,30,Intl State,USA,00:57:06,05:14:43,03:09:10,00:02:48,00:04:09,09:27:56
ironman-uk-20150719.csv,19,Lucy Gossage,36,---,GBR,00:59:11,05:22:56,03:03:43,00:02:59,00:03:09,09:31:58
ironman-uk-20150719.csv,20,Amy Forshaw,37,Intl State,GBR,01:03:44,---,---,00:03:32,---,DNF
ironman-uk-20150719.csv,21,Corinne Abraham,38,Intl State,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,22,Joanna Carritt,40,---,GBR,01:04:02,06:01:48,03:35:36,00:03:20,00:04:01,10:48:47
ironman-uk-20150719.csv,23,Tine Holst,36,---,DNK,---,---,---,---,---,DNS
ironman-uk-20150719.csv,24,Jana Candrova,40,Intl State,CZE,01:08:58,06:18:53,03:42:43,00:04:09,00:04:57,11:19:40
ironman-uk-20150719.csv,25,Beth Gerdes,36,CA,USA,---,---,---,---,---,DNS
ironman-uk-20150719.csv,26,Dede Griesbauer,45,CO,USA,---,---,---,---,---,DNS
ironman-uk-20150719.csv,27,Eleanor Haresign,37,---,GBR,00:59:11,05:46:46,03:26:43,00:03:24,00:03:44,10:19:48
ironman-uk-20150719.csv,28,Alice Hector,34,---,GBR,00:56:49,05:59:01,03:16:06,00:03:46,00:03:04,10:18:46
ironman-uk-20150719.csv,29,Mareen Hufe,38,---,DEU,---,---,---,---,---,DNS
ironman-uk-20150719.csv,30,Anne Jensen,39,DK,DNK,01:13:09,05:56:37,03:48:32,00:03:49,00:03:50,11:05:57
ironman-uk-20150719.csv,31,Kathryn King,38,---,GBR,01:10:02,06:17:16,03:39:51,00:05:10,00:05:01,11:17:20
ironman-uk-20150719.csv,32,Shiao-Yu Li,39,---,TWN,01:05:49,06:01:53,03:10:37,00:06:40,00:04:53,10:29:52
ironman-uk-20150719.csv,33,Caroline Livesey,37,Intl State,GBR,01:01:03,05:36:36,03:21:07,00:03:15,00:03:20,10:05:21
ironman-uk-20150719.csv,34,Suzie Richards,30,Intl State,GBR,01:03:23,06:31:08,04:05:06,00:03:25,00:05:46,11:48:48
ironman-uk-20150719.csv,35,Diana Riesler,32,---,DEU,---,---,---,---,---,DNS
ironman-uk-20150719.csv,36,Keiko Tanaka,31,Intl State,JPN,00:55:02,06:12:25,---,00:02:43,00:04:37,DNF
ironman-uk-20150719.csv,37,Michelle Vesterby,32,---,DNK,00:54:57,06:06:10,---,00:03:22,00:03:21,DNF
ironman-uk-20150719.csv,51,Rachael Mather,33,Cumbria,GBR,01:36:14,07:26:29,04:44:38,00:06:00,00:09:22,14:02:43
ironman-uk-20150719.csv,52,Mhairi Cooper,39,Cheshire,GBR,01:22:27,06:51:18,04:02:17,00:06:30,00:07:22,12:29:54
ironman-uk-20150719.csv,53,Linda Blakely,42,---,GBR,01:08:50,07:13:48,03:57:11,00:05:31,00:05:38,12:30:58
ironman-uk-20150719.csv,54,Annette Burrows,44,---,GBR,01:09:29,07:29:01,05:05:53,00:04:45,00:06:09,13:55:17
ironman-uk-20150719.csv,55,Jane Curwen,49,West yorkshire,GBR,01:32:20,06:56:06,06:19:08,00:08:34,00:09:41,15:05:49
ironman-uk-20150719.csv,56,Lynette Porter,52,Bristol,GBR,01:31:11,07:11:01,03:48:39,00:06:17,00:05:15,12:42:23
ironman-uk-20150719.csv,57,Benjamin Hall,27,London,GBR,01:06:40,05:43:27,03:10:08,00:03:04,00:03:18,10:06:37
ironman-uk-20150719.csv,58,Chris Huggett,27,---,GBR,01:03:23,05:42:44,03:13:06,00:03:16,00:03:36,10:06:05
ironman-uk-20150719.csv,59,Michael Buckley,31,---,GBR,01:16:36,06:06:08,03:54:37,00:05:10,00:07:10,11:29:41
ironman-uk-20150719.csv,60,Jonathan Marshall,32,---,GBR,01:08:01,05:22:05,03:37:15,00:03:19,00:03:44,10:14:24
ironman-uk-20150719.csv,61,Iain Campbell,32,---,GBR,01:07:35,06:41:09,03:53:39,00:07:47,00:06:51,11:57:01
ironman-uk-20150719.csv,62,Reagan Diaz,32,Mandaluyong City,PHL,01:26:53,07:24:21,04:39:02,00:11:32,00:09:05,13:50:53
ironman-uk-20150719.csv,63,David Winchester,36,---,ZAF,---,---,---,---,---,DNS
ironman-uk-20150719.csv,64,Peter Fenwick,36,---,GBR,00:59:06,05:32:55,03:04:04,00:03:42,00:04:46,09:44:33
ironman-uk-20150719.csv,65,Colin Pollock,35,Carlow,IRL,01:01:53,05:59:16,---,00:04:38,---,DNF
ironman-uk-20150719.csv,66,Mirko Morandi,37,Varese,ITA,01:01:03,06:45:21,03:16:19,00:06:25,00:04:07,11:13:15
ironman-uk-20150719.csv,67,Matthew Blagg,37,Berkshire,GBR,01:06:59,05:44:36,03:10:13,00:04:31,00:03:30,10:09:49
ironman-uk-20150719.csv,68,Marco Eglin,38,---,CHE,01:10:15,05:17:29,03:11:44,00:04:59,00:03:34,09:48:01
ironman-uk-20150719.csv,69,Luke Youlden,37,essex,GBR,01:14:01,05:59:39,04:21:27,00:04:19,00:05:05,11:44:31
ironman-uk-20150719.csv,70,Matthew Evans,39,---,GBR,01:07:27,05:23:44,03:18:37,00:03:36,00:04:28,09:57:52
ironman-uk-20150719.csv,71,Timothy Williams,40,---,GBR,01:26:31,06:09:40,03:49:55,00:07:02,00:06:51,11:39:59
ironman-uk-20150719.csv,72,Steve Prynne,41,WA,AUS,01:05:05,06:07:55,03:55:51,00:05:17,00:05:22,11:19:30
ironman-uk-20150719.csv,73,Graham Black,41,Warwickshire,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,74,Stewart Kerr,42,West Lothian,GBR,01:16:59,06:34:53,03:43:16,00:05:05,00:05:16,11:45:29
ironman-uk-20150719.csv,75,Jason Mckinnon,42,Warwickshire,AUS,01:06:32,06:32:33,---,00:06:26,00:06:22,DNF
ironman-uk-20150719.csv,76,Matt Sanderson,41,South Yorkshire,GBR,01:01:10,05:53:51,03:41:03,00:06:47,00:05:27,10:48:18
ironman-uk-20150719.csv,77,Colin Stone,42,---,GBR,01:06:08,06:23:38,03:55:12,00:04:37,00:07:26,11:37:01
ironman-uk-20150719.csv,78,Neil Price,42,---,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,79,Colin Robson,43,Tyne and Wear,GBR,01:11:13,05:42:57,03:32:11,00:03:33,00:03:32,10:33:26
ironman-uk-20150719.csv,80,David Corry,43,Eastern Province,IRL,01:21:29,---,---,00:14:03,---,DNF
ironman-uk-20150719.csv,81,Borys Darmas,43,---,POL,01:11:42,06:59:58,04:24:24,00:08:27,00:07:38,12:52:09
ironman-uk-20150719.csv,82,Marc Laithwaite,44,lancashire,GBR,00:59:06,05:33:32,03:31:39,00:03:25,00:03:51,10:11:33
ironman-uk-20150719.csv,83,Lee Carter,44,Cheshire,GBR,01:19:11,---,---,00:06:25,---,DNF
ironman-uk-20150719.csv,84,Thomas Claracq,44,---,FRA,01:09:35,05:50:24,03:23:34,00:04:30,00:04:33,10:32:36
ironman-uk-20150719.csv,85,Alistair Mullen,45,Western Cape,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,86,Wayne Vickers,---,Warwickshire,GBR,01:24:08,06:10:04,03:20:15,00:06:56,00:04:03,11:05:26
ironman-uk-20150719.csv,87,Paul Maye,47,---,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,88,Steve Hobson,47,Surrey,GBR,01:03:12,06:33:00,04:28:30,00:08:08,00:09:18,12:22:08
ironman-uk-20150719.csv,89,Jim Graham,49,East Sussex,GBR,01:10:00,---,---,00:05:06,---,DNF
ironman-uk-20150719.csv,90,Steven Lyons,50,---,GBR,01:17:51,06:22:28,04:46:55,00:06:47,00:05:02,12:39:03
ironman-uk-20150719.csv,91,Richard Michalak,50,---,GBR,01:05:31,06:47:09,04:21:11,00:06:07,00:06:44,12:26:42
ironman-uk-20150719.csv,92,Michael Britt,51,WA,USA,01:14:31,06:58:19,04:26:35,00:09:24,00:10:20,12:59:09
ironman-uk-20150719.csv,93,Richard Traynor,54,---,GBR,01:22:40,06:29:55,---,00:05:58,---,DNF
ironman-uk-20150719.csv,94,Erwin Bruninx,55,BE,BEL,01:19:50,06:23:03,04:23:26,00:07:01,00:07:41,12:21:01
ironman-uk-20150719.csv,95,Nicholas Beardow,56,---,GBR,01:23:07,06:17:05,04:19:35,00:07:07,00:06:18,12:13:12
ironman-uk-20150719.csv,96,Alicja Medak,43,---,POL,---,---,---,---,---,DNS
ironman-uk-20150719.csv,97,Share Forrester,57,staffordshire,GBR,01:30:24,07:28:27,04:43:21,00:10:20,00:09:10,14:01:42
ironman-uk-20150719.csv,98,Andrew Browning,24,---,GBR,00:57:57,06:36:04,04:06:29,00:04:13,00:08:58,11:53:41
ironman-uk-20150719.csv,99,Philip Hatzis,27,Intl State,GRC,00:58:41,05:53:39,04:16:43,00:04:52,00:03:55,11:17:50
ironman-uk-20150719.csv,100,James Titmus,30,---,GBR,01:02:31,06:34:31,03:56:34,00:06:04,00:08:44,11:48:24
ironman-uk-20150719.csv,101,Dan Cobby,30,West Sussex,GBR,01:06:12,05:21:44,02:56:19,00:03:29,00:03:00,09:30:44
ironman-uk-20150719.csv,102,Brian William Fogarty,32,---,GBR,01:04:40,05:15:40,03:16:48,00:03:08,00:03:50,09:44:06
ironman-uk-20150719.csv,103,James Gill,34,---,GBR,00:50:47,05:33:56,03:32:17,00:03:54,00:04:41,10:05:35
ironman-uk-20150719.csv,104,Mathieu Davy,35,---,GBR,01:09:20,05:29:05,03:19:36,00:04:20,00:03:41,10:06:02
ironman-uk-20150719.csv,105,Ryan Kestle,34,---,GBR,01:08:43,05:38:42,03:08:23,00:03:48,00:03:17,10:02:53
ironman-uk-20150719.csv,106,Julien Cornut,39,---,FRA,01:05:32,05:37:23,03:43:22,00:06:02,00:05:59,10:38:18
ironman-uk-20150719.csv,107,Jamie Scott,39,GB United Kingdom,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,108,Loic Benset,40,---,FRA,01:07:11,06:13:36,03:29:14,00:04:09,00:04:47,10:58:57
ironman-uk-20150719.csv,109,Will Taylor,41,---,GBR,01:06:21,05:51:43,03:33:08,00:06:51,00:08:32,10:46:35
ironman-uk-20150719.csv,110,Adrian Fowler,41,England,GBR,01:27:03,06:47:46,03:39:43,00:06:47,00:09:56,12:11:15
ironman-uk-20150719.csv,111,Bartlomiej Holda,42,---,POL,01:03:48,05:39:00,03:41:07,00:04:30,00:03:39,10:32:04
ironman-uk-20150719.csv,112,David Houska,42,BZ,CZE,01:06:58,05:52:13,03:23:28,00:05:38,00:08:05,10:36:22
ironman-uk-20150719.csv,113,Tony Cullen,42,---,GBR,01:00:18,05:25:36,03:20:53,00:03:01,00:03:17,09:53:05
ironman-uk-20150719.csv,114,Matthew Dawes,43,---,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,115,Declan Doyle,43,---,IRL,01:06:24,05:29:24,03:25:41,00:04:10,00:04:07,10:09:46
ironman-uk-20150719.csv,116,Martin Hansen,45,---,DNK,---,---,---,---,---,DNS
ironman-uk-20150719.csv,117,Rafal Medak,44,---,POL,---,---,---,---,---,DNS
ironman-uk-20150719.csv,118,Ian Dickens,45,---,GBR,01:26:21,06:10:31,04:13:07,00:05:35,00:05:50,12:01:24
ironman-uk-20150719.csv,119,Philippe Simon,45,---,FRA,01:25:15,06:36:11,03:57:52,00:07:44,00:07:22,12:14:24
ironman-uk-20150719.csv,120,Steven Lord,47,Somerset,GBR,00:54:11,---,---,00:05:15,---,DNF
ironman-uk-20150719.csv,121,Desmond Mcmanus,46,---,GBR,---,---,---,---,---,DNS
ironman-uk-20150719.csv,122,Phillip Turner,48,---,GBR,01:12:30,06:19:31,03:52:18,00:06:31,00:05:21,11:36:11
ironman-uk-20150719.csv,123,Paul Cane,52,Lancashire,GBR,01:16:11,06:24:14,04:52:58,00:06:27,00:04:27,12:44:17
ironman-uk-20150719.csv,124,Keith Eastham,53,Intl State,GBR,01:16:25,06:01:50,03:40:37,00:04:43,00:06:17,11:09:52
ironman-uk-20150719.csv,125,Mark Fowell,54,Derbyshire,GBR,01:20:01,06:16:20,04:37:12,00:05:41,00:04:32,12:23:46
ironman-uk-20150719.csv,126,Tom Mcinnes,56,QLD,GBR,01:15:43,06:24:35,04:39:55,00:05:41,00:06:48,12:32:42
