#File=ironman-uk-20170716.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-uk-20170716.csv,1,Kirill Kotsegarov,30,Harjumaa,EST,00:55:50,04:57:03,02:48:48,00:03:14,00:03:21,08:48:16
ironman-uk-20170716.csv,2,Fraser Cartmell,35,Intl State,GBR,00:52:31,05:20:53,03:13:44,00:03:03,00:03:38,09:33:49
ironman-uk-20170716.csv,3,Romain Guillaume,32,---,FRA,00:47:54,---,---,00:02:32,---,DNF
ironman-uk-20170716.csv,4,Will Clarke,32,Leicestershire,GBR,00:47:56,05:01:44,02:46:28,00:02:53,00:08:02,08:47:03
ironman-uk-20170716.csv,5,Harry Wiltshire,34,Intl State,GBR,00:47:52,05:18:53,---,00:02:44,---,DNF
ironman-uk-20170716.csv,6,Bryan Mccrystal,36,Intl State,IRL,00:57:09,04:55:03,03:11:51,00:03:12,00:03:16,09:10:31
ironman-uk-20170716.csv,7,Clemente Alonso-Mckernan,39,---,ESP,---,---,---,---,---,DNS
ironman-uk-20170716.csv,8,Mark Bowstead,27,AUK,NZL,00:48:54,---,---,00:02:58,---,DNF
ironman-uk-20170716.csv,9,Pedro Gomes,33,DXB,PRT,00:52:03,05:27:13,03:00:03,00:03:08,00:03:17,09:25:44
ironman-uk-20170716.csv,10,Cyril Viennot,35,---,FRA,00:48:57,04:52:16,02:53:43,00:03:00,00:03:11,08:41:07
ironman-uk-20170716.csv,11,Esben Hovgaard,34,---,DNK,---,---,---,---,---,DNS
ironman-uk-20170716.csv,12,Miquel Blanchart Tintó,33,---,ESP,00:49:38,05:29:26,---,00:03:16,00:03:09,DNF
ironman-uk-20170716.csv,13,Nicholas Ward Muñoz,35,---,GBR,00:57:04,05:16:10,02:56:09,00:03:11,00:04:18,09:16:52
ironman-uk-20170716.csv,14,Alistair Brownlee,---,---,GBR,---,---,---,---,---,DNS
ironman-uk-20170716.csv,20,Lucy Gossage,37,Intl State,GBR,01:01:15,05:23:07,03:09:15,00:02:57,00:03:14,09:39:48
ironman-uk-20170716.csv,21,Nikki Bartlett,30,Gloucestershire,GBR,01:01:17,05:27:34,03:23:08,00:03:04,00:04:05,09:59:08
ironman-uk-20170716.csv,22,Diana Riesler,32,---,DEU,00:58:53,05:27:39,03:08:30,00:03:24,00:03:30,09:41:56
ironman-uk-20170716.csv,23,Katja Konschak,39,---,DEU,---,---,---,---,---,DNS
ironman-uk-20170716.csv,24,Brooke Brown,38,ON,CAN,01:01:22,05:42:48,03:28:17,00:04:31,00:04:18,10:21:16
ironman-uk-20170716.csv,25,Hannah Drewett,24,---,GBR,00:52:01,06:13:04,---,00:03:34,00:04:45,DNF
ironman-uk-20170716.csv,26,Kate Comber,29,Somerset,GBR,---,---,---,---,---,DNS
ironman-uk-20170716.csv,27,Lucy Charles,23,Intl State,GBR,---,---,---,---,---,DNS
ironman-uk-20170716.csv,100,Claire Walton,33,merseyside,GBR,01:08:06,06:12:39,03:34:50,00:05:14,00:04:45,11:05:34
ironman-uk-20170716.csv,101,Rachel Hall,41,Staffordshire,GBR,01:01:50,06:34:07,04:13:44,00:06:06,00:05:40,12:01:27
ironman-uk-20170716.csv,102,Julie Harrison,54,---,GBR,01:17:15,06:49:31,04:12:08,00:07:05,00:07:15,12:33:14
ironman-uk-20170716.csv,103,Glynis Greenough,64,Intl State,GBR,01:27:26,08:13:16,06:11:03,00:17:34,00:17:18,16:26:37
ironman-uk-20170716.csv,104,Boris Klimes,28,---,SWE,01:03:31,06:12:19,---,00:04:45,---,DNF
ironman-uk-20170716.csv,105,Arnaud Margot,29,---,CHE,01:05:42,05:12:24,03:17:18,00:03:05,00:03:40,09:42:09
ironman-uk-20170716.csv,106,Finlay Mcandrew,27,---,GBR,00:57:56,05:28:46,03:01:08,00:03:40,00:04:58,09:36:28
ironman-uk-20170716.csv,107,Joseph Perkins,24,Surrey,GBR,01:01:26,06:04:39,03:24:05,00:05:07,00:07:23,10:42:40
ironman-uk-20170716.csv,108,Chris Weeks,27,Dorset,GBR,01:03:24,05:42:09,04:03:01,00:04:30,00:05:32,10:58:36
ironman-uk-20170716.csv,109,Marco Corti,31,Bs,ITA,01:08:58,05:26:29,02:59:59,00:05:38,00:04:30,09:45:34
ironman-uk-20170716.csv,110,Brian William Fogarty,33,---,GBR,01:01:43,04:50:42,03:03:35,00:03:15,00:03:39,09:02:54
ironman-uk-20170716.csv,111,Scott Hill,34,Norfolk,GBR,01:04:43,05:30:13,03:27:22,00:03:59,00:03:10,10:09:27
ironman-uk-20170716.csv,112,Simon Lovelock,33,---,GBR,01:04:47,05:40:56,03:04:03,00:04:07,00:04:16,09:58:09
ironman-uk-20170716.csv,113,Thomas Moon,33,Somerset,GBR,01:03:17,05:45:02,03:38:24,00:04:12,00:04:37,10:35:32
ironman-uk-20170716.csv,114,Richard Blackburn,34,---,GBR,01:00:02,05:41:48,03:35:26,00:03:57,00:05:50,10:27:03
ironman-uk-20170716.csv,115,Markus Gloel,37,---,FIN,01:11:13,05:31:52,03:54:24,00:04:30,00:04:43,10:46:42
ironman-uk-20170716.csv,116,Stefan Krueger,39,Middlesex,DEU,01:17:25,06:21:18,03:40:20,00:06:50,00:14:50,11:40:43
ironman-uk-20170716.csv,117,Jose Maria Lopez Morales,34,---,ESP,---,---,---,---,---,DNS
ironman-uk-20170716.csv,118,Ryan Mclaughlin,36,Scotland,ZAF,01:07:07,05:37:47,03:18:21,00:05:06,00:05:30,10:13:51
ironman-uk-20170716.csv,119,Benjamin Pernet,36,---,FRA,00:52:32,05:25:19,03:11:30,00:04:11,00:04:49,09:38:21
ironman-uk-20170716.csv,120,Alex Sidorenko,36,Almaty,KAZ,01:16:20,06:07:17,03:20:17,00:04:34,00:05:12,10:53:40
ironman-uk-20170716.csv,121,Rob Chaplin,43,North Yorkshire,GBR,---,---,---,---,---,DNS
ironman-uk-20170716.csv,122,Bartlomiej Holda,43,---,POL,01:03:37,05:32:28,---,00:04:50,00:04:07,DNF
ironman-uk-20170716.csv,123,Phil Lester,41,---,GBR,01:08:35,05:55:14,03:34:19,00:04:57,00:04:26,10:47:31
ironman-uk-20170716.csv,124,Barry Pascoe,40,WA,AUS,01:08:53,05:50:29,03:25:32,00:06:41,00:06:28,10:38:03
ironman-uk-20170716.csv,125,Nicholas Clarry,44,Oxfordshire,GBR,01:15:32,05:22:27,03:07:39,00:05:13,00:04:34,09:55:25
ironman-uk-20170716.csv,126,Richard Collins,48,---,GBR,01:16:23,05:51:53,03:46:43,00:04:27,00:05:45,11:05:11
ironman-uk-20170716.csv,127,Ian Cox,47,Lancashire,GBR,01:04:45,05:39:53,04:42:38,00:04:41,00:05:29,11:37:26
ironman-uk-20170716.csv,128,Andrew Ley,48,---,GBR,01:08:58,05:54:34,03:51:33,00:03:29,00:04:25,11:02:59
ironman-uk-20170716.csv,129,Rafal Medak,45,London,POL,01:07:00,05:53:43,04:30:04,00:05:32,00:09:58,11:46:17
ironman-uk-20170716.csv,130,Theodor Seiz,44,AT,AUT,01:06:39,05:44:26,03:46:23,00:04:14,00:04:26,10:46:08
ironman-uk-20170716.csv,131,Darrell Stott,48,FL,USA,01:07:04,05:48:33,03:16:05,00:05:53,00:05:02,10:22:37
ironman-uk-20170716.csv,132,Phillip Turner,49,---,GBR,01:11:45,05:58:13,04:51:47,00:05:18,00:05:56,12:12:59
ironman-uk-20170716.csv,133,Walter Van Den Broeck,47,---,BEL,---,---,---,---,---,DNS
ironman-uk-20170716.csv,134,Chris Wild,46,Lancashire,GBR,01:08:22,06:06:23,03:42:48,00:04:29,00:04:06,11:06:08
ironman-uk-20170716.csv,135,Fredrik Baving,51,---,SWE,01:09:47,05:53:41,03:29:36,00:05:43,00:05:38,10:44:25
ironman-uk-20170716.csv,136,Warren Mason,52,Lancashire,GBR,01:11:32,05:43:05,03:43:18,00:04:26,00:03:40,10:46:01
ironman-uk-20170716.csv,137,Zbigniew Józef Glinkowski,57,---,POL,---,---,---,---,---,DNS
ironman-uk-20170716.csv,138,Marcus Ryall,54,Somerset,GBR,01:12:12,06:09:14,04:10:56,00:05:09,00:05:11,11:42:42
ironman-uk-20170716.csv,139,James Graham,53,---,GBR,01:32:13,06:23:43,04:09:47,00:06:14,00:06:17,12:18:14
ironman-uk-20170716.csv,140,Yann Payen,42,---,FRA,01:10:11,05:30:18,03:29:29,00:04:30,00:04:51,10:19:19
ironman-uk-20170716.csv,141,Olivier Cardoen,41,---,BEL,00:57:38,05:21:02,03:20:57,00:03:21,00:03:13,09:46:11
ironman-uk-20170716.csv,142,Anthony Dawson,---,---,GBR,01:38:22,08:27:33,05:31:41,00:07:15,00:07:14,15:52:05
ironman-uk-20170716.csv,143,Paul Marshall,---,---,GBR,01:30:15,05:48:24,04:08:27,00:05:36,00:05:52,11:38:34
ironman-uk-20170716.csv,144,Garry Barnes,---,---,GBR,01:38:38,06:31:27,05:07:53,00:18:55,00:11:50,13:48:43
ironman-uk-20170716.csv,145,Marc Taylor,---,---,GBR,01:34:02,06:47:51,04:59:38,00:08:45,00:09:26,13:39:42
ironman-uk-20170716.csv,149,Edwina Hartwell,32,---,GBR,01:00:18,06:12:37,03:53:03,00:03:48,00:03:43,11:13:29
ironman-uk-20170716.csv,150,Elizabeth Reeves,34,---,GBR,01:25:27,06:36:16,---,00:05:41,00:06:24,DNF
ironman-uk-20170716.csv,151,Emma Wardall,30,Wiltshire,GBR,01:13:43,06:27:14,03:31:11,00:04:20,00:04:58,11:21:26
ironman-uk-20170716.csv,152,Sophie Bubb,35,---,GBR,01:03:45,06:03:30,03:28:12,00:04:13,00:04:48,10:44:28
ironman-uk-20170716.csv,153,Claire Fudge,37,west midlands,GBR,01:10:48,06:48:58,04:33:53,00:04:46,00:05:03,12:43:28
ironman-uk-20170716.csv,154,Lou' Williams,38,Shropshire,GBR,01:14:10,06:26:35,04:30:44,00:04:42,00:04:56,12:21:07
ironman-uk-20170716.csv,155,Mhairi Wear,41,---,GBR,01:18:01,06:43:17,04:49:15,00:07:11,00:06:19,13:04:03
ironman-uk-20170716.csv,156,Annette Burrows,44,---,GBR,01:11:39,07:06:26,05:29:47,00:04:44,00:07:30,14:00:06
