#ironman-vichy-20150830.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-vichy-20150830.csv,1,Dirk Bockel,39,FL,LUX,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,2,Bertrand Billard,29,---,FRA,00:51:16,04:31:19,02:59:56,00:02:48,00:02:20,08:27:39
ironman-vichy-20150830.csv,3,Christian Brader,36,Intl State,DEU,00:57:45,04:36:30,02:52:07,00:02:11,00:02:39,08:31:12
ironman-vichy-20150830.csv,5,Marc Duelsen,31,DE,DEU,00:54:32,04:39:56,---,00:02:23,00:03:21,DNF
ironman-vichy-20150830.csv,6,Michael Ruenz,29,DE,DEU,---,---,---,---,---,DQ
ironman-vichy-20150830.csv,7,Aj Baucco,30,OH,USA,00:53:01,---,---,00:02:26,---,DNF
ironman-vichy-20150830.csv,8,Patrick Jaberg,36,---,CHE,00:54:27,04:34:50,02:58:46,00:02:21,00:03:38,08:34:02
ironman-vichy-20150830.csv,9,Mauro Baertsch,30,---,CHE,00:54:34,04:31:24,02:52:34,00:02:46,00:02:31,08:23:49
ironman-vichy-20150830.csv,10,Ivan Risti,36,MI,ITA,00:51:12,04:43:29,03:03:33,00:02:15,00:09:06,08:49:35
ironman-vichy-20150830.csv,11,Nicolas Hemet,38,FR,FRA,00:54:38,---,---,00:02:28,---,DNF
ironman-vichy-20150830.csv,12,Guillaume Jeannin,34,FR,FRA,00:52:25,04:45:52,03:27:12,00:02:16,00:02:53,09:10:38
ironman-vichy-20150830.csv,13,Gilian Oriet,32,---,CHE,01:02:29,---,---,00:03:51,---,DNF
ironman-vichy-20150830.csv,14,Mike Schifferle,43,---,CHE,01:01:03,04:33:40,02:58:02,00:03:52,00:03:39,08:40:16
ironman-vichy-20150830.csv,15,Steven Rosinski,31,VA,USA,00:59:59,04:50:21,---,00:03:11,00:04:04,DNF
ironman-vichy-20150830.csv,16,Ludovic Le Guellec,34,---,FRA,01:06:13,05:18:09,04:10:00,00:03:42,00:03:21,10:41:25
ironman-vichy-20150830.csv,17,Emanuele Ciotti,36,italia,ITA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,18,Christopher Sweet,37,IL,USA,01:02:33,05:02:18,03:30:22,00:03:11,00:02:03,09:40:27
ironman-vichy-20150830.csv,19,Michal Jalovecky,39,Intl State,CZE,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,20,Maksim Kalinin,31,Saint-Petersburg,---,01:18:05,05:29:46,03:39:38,00:03:59,00:03:35,10:35:03
ironman-vichy-20150830.csv,22,Pascal Ramali,30,DE,DEU,01:04:23,04:33:48,---,00:02:36,00:01:30,DNF
ironman-vichy-20150830.csv,24,Frederic Schaffner,36,FR,FRA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,25,Andriy Lyatskiy,29,---,USA,00:51:19,04:51:10,03:03:16,00:02:22,00:02:58,08:51:05
ironman-vichy-20150830.csv,26,Anthony Pannier,32,FR,FRA,00:51:09,04:36:17,---,00:02:15,00:02:39,DNF
ironman-vichy-20150830.csv,27,Oliver Gonzalez,38,Intl State,MEX,00:54:31,05:11:16,03:14:52,00:02:36,00:03:22,09:26:37
ironman-vichy-20150830.csv,28,Jim Lubinski,37,CA,USA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,40,Natascha Badmann,49,CH,CHE,01:03:28,04:56:20,03:25:16,00:03:24,00:04:05,09:32:33
ironman-vichy-20150830.csv,41,Corinne Abraham,38,Intl State,---,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,42,Gurutze Frades,34,---,ESP,01:03:09,05:10:51,03:05:46,00:03:12,00:02:29,09:25:27
ironman-vichy-20150830.csv,43,Tine Holst,36,---,DNK,01:04:25,05:04:46,03:15:51,00:03:01,00:02:56,09:30:59
ironman-vichy-20150830.csv,44,Maria Lemeseva,27,---,RUS,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,45,Alyssa Godesky,31,VA,USA,01:03:11,05:17:08,03:25:28,00:03:27,00:03:01,09:52:15
ironman-vichy-20150830.csv,46,Michelle Vella Wood,34,NA,NAM,01:03:31,05:55:20,05:47:13,00:03:34,00:04:26,12:54:04
ironman-vichy-20150830.csv,47,Anna Rovira,35,Intl State,---,01:13:41,05:37:19,---,00:03:40,00:04:05,DNF
ironman-vichy-20150830.csv,48,Nicole Woysch,39,Intl State,DEU,01:00:26,---,---,00:02:44,---,DNF
ironman-vichy-20150830.csv,51,David Dedieu,41,FR,FRA,01:32:24,06:06:48,05:56:18,00:04:58,00:04:31,13:44:59
ironman-vichy-20150830.csv,52,Ivan Gil Arnaiz,28,ES,ESP,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,53,Guillaume Brocco,30,---,FRA,00:58:19,04:54:04,03:31:14,00:04:29,00:03:43,09:31:49
ironman-vichy-20150830.csv,54,Emmet Kelly,34,Waterford,IRL,01:03:38,05:01:39,03:05:03,00:03:18,00:02:50,09:16:28
ironman-vichy-20150830.csv,55,Maximilian Dittmers,22,DE,DEU,01:11:15,05:22:36,04:41:56,00:04:06,00:04:50,11:24:43
ironman-vichy-20150830.csv,56,Michael Lauk,46,---,DEU,01:07:31,---,---,00:05:26,---,DNF
ironman-vichy-20150830.csv,57,Markus Kemetter,46,Intl State,FIN,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,58,Arnaud Bouvier,50,---,FRA,01:04:36,05:02:52,03:23:32,00:02:55,00:02:59,09:36:54
ironman-vichy-20150830.csv,59,Benjamin Hall,27,London,GBR,01:08:06,05:07:03,03:14:48,00:02:36,00:02:20,09:34:53
ironman-vichy-20150830.csv,60,Ole-Morten Munz,37,---,NOR,01:11:53,04:56:40,04:00:04,00:03:17,00:04:53,10:16:47
ironman-vichy-20150830.csv,61,Christophe Pareit,38,BE,BEL,00:59:45,04:56:53,---,00:03:40,00:03:05,DNF
ironman-vichy-20150830.csv,62,Janne Kallio,41,Uusimaa,FIN,01:03:26,04:48:06,04:02:33,00:03:05,00:02:54,10:00:04
ironman-vichy-20150830.csv,63,Damien Lan\xc3\xa9e,41,---,FRA,01:04:47,04:56:52,03:11:32,00:03:03,00:03:00,09:19:14
ironman-vichy-20150830.csv,64,Yann Le Dorze,41,FR,FRA,01:06:29,04:59:09,03:43:02,00:03:00,00:02:48,09:54:28
ironman-vichy-20150830.csv,65,Manoel Saudemont,43,FR,FRA,01:04:08,05:02:32,03:30:51,00:04:05,00:04:19,09:45:55
ironman-vichy-20150830.csv,66,Thierry Perin,49,FR,FRA,01:02:42,05:08:47,03:36:31,00:02:44,00:02:56,09:53:40
ironman-vichy-20150830.csv,67,Laurent Tranchant,30,FR,FRA,00:58:00,04:54:10,03:23:16,00:02:53,00:03:19,09:21:38
ironman-vichy-20150830.csv,68,Thomas Devins,28,FR,FRA,01:06:42,05:57:27,04:53:32,00:04:38,00:04:59,12:07:18
ironman-vichy-20150830.csv,69,Omry Alaluf,30,Israel,ISR,01:14:01,06:07:47,04:13:37,00:03:52,00:09:27,11:48:44
ironman-vichy-20150830.csv,70,Mebarek Bessaa,50,Intl State,FRA,01:05:54,05:10:41,---,00:04:49,---,DNF
ironman-vichy-20150830.csv,71,Pierre Romanet,50,FR,FRA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,72,Aymeric Fabre,25,FR,FRA,00:52:44,05:17:24,04:11:36,00:03:31,00:03:01,10:28:16
ironman-vichy-20150830.csv,73,Thierry Quintin,50,FR,FRA,01:11:55,05:21:50,---,00:05:42,00:03:59,DNF
ironman-vichy-20150830.csv,74,Thierry Debrun,52,FR,FRA,01:05:46,05:10:16,03:55:51,00:04:00,00:03:12,10:19:05
ironman-vichy-20150830.csv,75,Pascal Durand,50,FR,FRA,01:06:46,05:53:51,---,00:06:25,00:08:39,DNF
ironman-vichy-20150830.csv,76,Emiliano Battista,37,CABA,ARG,00:59:37,05:30:20,03:51:52,00:03:37,00:04:22,10:29:48
ironman-vichy-20150830.csv,77,David Tence,43,FR,FRA,01:02:09,04:55:50,03:32:55,00:03:44,00:03:52,09:38:30
ironman-vichy-20150830.csv,78,Franck Furic,34,FR,FRA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,79,Etienne Delente,51,---,FRA,01:04:28,05:20:33,03:36:44,00:04:15,00:04:05,10:10:05
ironman-vichy-20150830.csv,80,Martin Daniel Bruelhart,53,CH,CHE,01:16:46,05:46:19,04:07:21,00:05:49,00:04:49,11:21:04
ironman-vichy-20150830.csv,81,Mario Vernazza,39,---,ITA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,82,Kris Gaudaen,32,BE,BEL,01:10:28,05:23:29,04:11:05,00:04:12,00:03:41,10:52:55
ironman-vichy-20150830.csv,83,Andrew Mcleod,57,---,NZL,01:05:32,05:46:12,05:01:35,00:05:39,00:03:17,12:02:15
ironman-vichy-20150830.csv,84,Thierry Permane,39,BE,BEL,01:08:35,05:24:24,04:56:58,00:04:55,00:07:30,11:42:22
ironman-vichy-20150830.csv,85,Frank Poveda Ubach,47,ES,ESP,01:25:56,05:52:48,04:24:30,00:12:30,00:03:41,11:59:25
ironman-vichy-20150830.csv,86,Michael Stucky,43,CH,CHE,01:32:18,05:24:24,03:23:40,00:03:34,00:04:48,10:28:44
ironman-vichy-20150830.csv,87,Loic Faure,32,---,FRA,01:06:39,05:38:20,04:34:14,00:04:50,00:05:27,11:29:30
ironman-vichy-20150830.csv,88,Ali Riza Bilal,43,\xc4\xb0stanbul  Turkey,TUR,01:17:13,---,---,00:04:14,---,DNF
ironman-vichy-20150830.csv,89,Dmytro Dotsenko,43,---,UKR,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,90,Beno\xc3\xaet Hermans,48,BE,BEL,01:13:43,05:27:47,03:56:21,00:05:40,00:05:00,10:48:31
ironman-vichy-20150830.csv,91,Baudouin Baudru,55,BE,---,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,92,\xd0\x98\xd0\xb3\xd0\xbe\xd1\x80\xd1\x8c \xd0\x92\xd0\xbe\xd1\x80\xd0\xbe\xd1\x82\xd1\x8b\xd0\xbd\xd1\x86\xd0\xb5\xd0\xb2,36,BELGOROD,---,01:24:16,05:53:18,04:06:22,00:03:17,00:05:15,11:32:28
ironman-vichy-20150830.csv,93,Gilles Cuenat,57,CH,CHE,01:19:27,06:07:27,04:11:55,00:06:55,00:04:06,11:49:50
ironman-vichy-20150830.csv,94,Stanislas Rousseau,53,FR,FRA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,95,Piotr Dlugolecki,52,APO,POL,01:31:59,06:35:35,05:09:50,00:08:49,00:10:03,13:36:16
ironman-vichy-20150830.csv,96,Charles Slovenski,60,CH,CHE,01:19:52,07:01:43,05:50:54,00:08:31,00:03:39,14:24:39
ironman-vichy-20150830.csv,97,David Herman,55,FL,USA,01:06:40,---,---,00:09:23,---,DNF
ironman-vichy-20150830.csv,98,Jaime Menendez De Luarca,42,ES,ESP,00:54:59,04:51:27,03:16:39,00:03:05,00:02:45,09:08:55
ironman-vichy-20150830.csv,99,Tiziano Mascia,37,CA,ITA,01:10:33,05:01:52,03:18:54,00:03:47,00:02:45,09:37:51
ironman-vichy-20150830.csv,100,Tomasz Zemelka,35,Lodzkie,POL,01:03:34,05:06:34,---,00:04:15,---,DNF
ironman-vichy-20150830.csv,101,Tim Ballintine,30,VIC,AUS,00:55:37,04:56:40,03:30:02,00:02:58,00:02:35,09:27:52
ironman-vichy-20150830.csv,102,Vincent Darcq,31,FR,FRA,01:01:13,05:02:12,03:13:16,00:02:36,00:02:59,09:22:16
ironman-vichy-20150830.csv,103,Olivier Philippe,42,FR,FRA,01:06:16,05:08:40,03:17:17,00:03:24,00:02:36,09:38:13
ironman-vichy-20150830.csv,104,Barlas Kazanci,36,kadikoy,TUR,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,105,Vicenc Castella Serra,31,---,ESP,01:04:31,04:47:29,03:08:55,00:02:49,00:03:25,09:07:09
ironman-vichy-20150830.csv,106,Armel Le Floch,42,---,FRA,00:58:25,05:36:34,05:15:25,00:04:29,00:04:29,11:59:22
ironman-vichy-20150830.csv,107,Eric Tomaszewski,48,---,FRA,01:03:35,04:51:12,03:31:18,00:03:19,00:03:32,09:32:56
ironman-vichy-20150830.csv,108,Stephan Pollert,53,DE,DEU,01:06:19,05:08:21,04:01:05,00:03:10,00:04:31,10:23:26
ironman-vichy-20150830.csv,109,Thierry Foulounoux,59,FR,FRA,01:14:11,05:48:20,---,00:04:47,00:07:03,DNF
ironman-vichy-20150830.csv,110,Michael Charlton,47,---,GBR,01:04:17,04:58:53,03:13:29,00:04:13,00:01:49,09:22:41
ironman-vichy-20150830.csv,111,Daniel Kolopp,54,---,FRA,01:11:47,05:34:13,04:34:38,00:04:51,00:02:38,11:28:07
ironman-vichy-20150830.csv,112,Adrian Fowler,41,England,GBR,01:29:39,05:43:44,04:42:20,00:03:52,00:05:36,12:05:11
ironman-vichy-20150830.csv,113,Vanni Viroli,59,Italia,ITA,01:36:52,06:22:06,05:09:05,00:09:18,00:09:14,13:26:35
ironman-vichy-20150830.csv,114,David Buckham,44,---,ZAF,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,115,Mathieu Mignardot,32,CH,FRA,01:12:06,06:42:45,05:13:17,00:09:03,00:06:51,13:24:02
ironman-vichy-20150830.csv,116,Ludovic Meheust,49,FR,FRA,01:04:16,05:01:39,04:08:25,00:03:32,00:04:34,10:22:26
ironman-vichy-20150830.csv,117,Jesus Sanchez,42,---,ESP,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,118,Thomas Leboucher,35,FR,FRA,00:56:26,05:01:01,---,00:03:34,00:06:45,DNF
ironman-vichy-20150830.csv,119,Mathieu Perget,31,---,FRA,01:06:42,04:38:33,03:08:00,00:03:14,00:02:50,08:59:19
ironman-vichy-20150830.csv,120,Arslane Alilet,36,---,FRA,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,121,Stephane Lebon,43,FR,FRA,01:02:02,04:54:08,---,00:04:01,00:02:53,DNF
ironman-vichy-20150830.csv,122,Jonathan Colon,30,BE,BEL,00:56:13,05:15:51,04:18:11,00:02:29,00:05:23,10:38:07
ironman-vichy-20150830.csv,123,Bruno Promonet,51,---,FRA,01:11:59,05:09:32,03:38:14,00:03:34,00:03:37,10:06:56
ironman-vichy-20150830.csv,124,Laurent Petermann,46,FR,FRA,01:08:07,05:03:23,03:16:39,00:03:32,00:03:04,09:34:45
ironman-vichy-20150830.csv,125,Yann Payen,42,---,FRA,01:18:21,05:07:53,---,00:04:44,00:04:01,DNF
ironman-vichy-20150830.csv,126,Luc Grolière,31,FR,FRA,01:00:48,05:02:24,03:11:57,00:02:53,00:02:50,09:20:52
ironman-vichy-20150830.csv,127,Jérôme Alaurent,42,FR,FRA,01:05:09,05:04:22,06:26:56,00:03:35,00:05:00,12:45:02
ironman-vichy-20150830.csv,128,Lukasz Grass,40,mazowieckie,POL,01:10:13,05:04:44,03:51:46,00:03:15,00:03:27,10:13:25
ironman-vichy-20150830.csv,129,Boris Klimes,27,SE,SWE,01:12:50,05:03:24,04:20:50,00:04:17,00:03:27,10:44:48
ironman-vichy-20150830.csv,130,Miguel Ruiz Fernandez,31,Other,ESP,01:02:17,05:39:01,03:33:16,00:02:36,00:04:56,10:22:06
ironman-vichy-20150830.csv,131,Alban Cagniart,30,FR,FRA,00:55:53,05:19:03,---,00:03:21,00:03:21,DNF
ironman-vichy-20150830.csv,132,David Lebrat,34,---,FRA,01:01:08,05:05:45,03:01:26,00:03:19,00:05:28,09:17:06
ironman-vichy-20150830.csv,133,Mark Gray,48,---,GBR,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,134,Jochen Philipp,49,DE,DEU,01:10:36,05:20:53,04:03:21,00:04:51,00:03:51,10:43:32
ironman-vichy-20150830.csv,135,Christophe Bardet,46,FR,---,01:08:55,05:18:10,03:53:42,00:03:05,00:02:57,10:26:49
ironman-vichy-20150830.csv,136,Markus Matula,54,DE,DEU,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,137,Carlos Mestre Gonzalez,40,---,ESP,---,---,---,---,---,DNS
ironman-vichy-20150830.csv,138,MOISES GONZALEZ,46,BARCELONA,ESP,01:11:29,05:21:44,05:00:15,00:03:15,00:04:23,11:41:06
ironman-vichy-20150830.csv,139,David Brodier,41,FR,FRA,01:04:13,05:23:52,03:42:44,00:03:39,00:02:32,10:17:00
ironman-vichy-20150830.csv,140,Julian Gaugain,28,FR,FRA,01:12:18,05:00:53,05:08:57,00:04:50,00:05:24,11:32:22
ironman-vichy-20150830.csv,141,Radek Pawlowski,40,Other,POL,01:02:22,05:08:00,04:21:11,00:03:36,00:03:40,10:38:49
ironman-vichy-20150830.csv,142,Andreas Laible,29,DE,DEU,01:15:10,05:54:56,---,00:04:00,---,DNF
ironman-vichy-20150830.csv,143,Nicola Campassi,37,Italia,ITA,01:08:09,05:28:16,04:25:35,00:03:39,00:03:24,11:09:03
ironman-vichy-20150830.csv,144,Maximo Martin,52,ES,ESP,01:02:28,05:22:07,03:40:43,00:04:27,00:03:44,10:13:29
ironman-vichy-20150830.csv,145,Sylvain Prenel,44,FR,FRA,01:14:27,05:43:35,04:19:37,00:06:01,00:07:50,11:31:30
