#File=ironman-wales-20160918.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-wales-20160918.csv,1,Kristin Moeller,32,---,DEU,---,---,---,---,---,DNS
ironman-wales-20160918.csv,2,Diana Riesler,32,---,DEU,00:54:59,05:32:22,---,00:08:21,00:02:16,DNF
ironman-wales-20160918.csv,3,Katharina Grohmann,28,---,DEU,01:03:37,05:51:42,03:08:42,00:07:03,00:02:05,10:13:09
ironman-wales-20160918.csv,4,Caroline Livesey,37,Intl State,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,5,Nikki Bartlett,29,Gloucestershire,GBR,00:56:59,05:39:07,03:22:48,00:07:18,00:03:03,10:09:15
ironman-wales-20160918.csv,6,Lucy Charles,23,Intl State,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,7,Jeanne Collonge,29,---,FRA,00:53:52,05:29:48,03:28:23,00:07:41,00:03:00,10:02:44
ironman-wales-20160918.csv,8,Leslie Dimichele Miller,31,VA,USA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,9,Krstin Lie,45,---,NOR,01:07:10,05:46:45,03:35:20,00:08:46,00:03:04,10:41:05
ironman-wales-20160918.csv,10,Kate Comber,28,Somerset,GBR,00:49:14,05:44:47,03:31:02,00:06:47,00:02:31,10:14:21
ironman-wales-20160918.csv,11,Darbi Roberts,32,NH,USA,00:49:26,05:46:41,03:14:41,00:07:15,00:02:14,10:00:17
ironman-wales-20160918.csv,20,Romain Guillaume,31,---,FRA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,21,Alberto Casadei,30,Intl State,ITA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,22,Nicholas Baldwin,28,WA,SYC,00:47:10,05:05:02,03:07:11,00:06:09,00:01:50,09:07:22
ironman-wales-20160918.csv,23,Marc Duelsen,31,---,DEU,00:46:39,05:08:50,02:58:18,00:06:02,00:01:50,09:01:39
ironman-wales-20160918.csv,24,Mike Schifferle,43,---,CHE,00:54:03,05:15:00,03:12:54,00:08:50,00:03:23,09:34:10
ironman-wales-20160918.csv,25,Karl-Johan Danielsson,31,---,SWE,00:45:28,05:18:56,03:17:25,00:06:31,00:02:46,09:31:06
ironman-wales-20160918.csv,26,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,27,Fraser Cartmell,34,Intl State,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,28,Erik-Simon Strijk,31,---,NLD,---,---,---,---,---,DNS
ironman-wales-20160918.csv,29,Robbie Wade,34,CO,IRL,---,---,---,---,---,DNS
ironman-wales-20160918.csv,30,Oliver Simon,36,---,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,31,Felipe Manente,27,Intl State,BRA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,32,Cedric Lassonde,39,---,FRA,00:49:19,05:16:00,03:06:04,00:06:51,00:02:13,09:20:27
ironman-wales-20160918.csv,33,Graeme Stewart,38,---,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,34,Eneko Elosegi,33,---,ESP,---,---,---,---,---,DNS
ironman-wales-20160918.csv,35,David Jilek,29,Intl State,CZE,---,---,---,---,---,DNS
ironman-wales-20160918.csv,36,Swen Sundberg,42,Eastern Cape,DEU,---,---,---,---,---,DNS
ironman-wales-20160918.csv,37,David Krupicka,39,CZ,CZE,---,---,---,---,---,DNS
ironman-wales-20160918.csv,38,Rafael Espinar,41,ES,ESP,---,---,---,---,---,DNS
ironman-wales-20160918.csv,39,Gilian Oriet,32,---,CHE,00:54:03,06:06:22,---,00:08:54,00:02:44,DNF
ironman-wales-20160918.csv,40,Brennan Townshend,---,Intl State,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,41,Kevin Rundstadler,22,---,FRA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,42,Philip Graves,27,Intl State,GBR,00:45:26,05:01:43,03:06:43,00:06:42,00:02:22,09:02:56
ironman-wales-20160918.csv,43,Hannes Vandermoere,28,Intl State,BEL,00:51:47,05:33:39,03:03:55,00:06:52,00:02:25,09:38:38
ironman-wales-20160918.csv,44,Dominic Rohan-Gates,32,---,GBR,00:57:02,---,---,00:06:47,---,DNF
ironman-wales-20160918.csv,45,Hervé Banti,39,Intl State,MCO,---,---,---,---,---,DNS
ironman-wales-20160918.csv,46,Karol Dzalaj,35,Intl State,SVK,---,---,---,---,---,DNS
ironman-wales-20160918.csv,47,Daniel Niederreiter,37,---,AUT,00:45:25,05:13:39,03:03:19,00:06:30,00:01:49,09:10:42
ironman-wales-20160918.csv,48,Matthias Epping,29,---,DEU,00:49:19,05:15:36,04:02:31,00:06:01,00:02:15,10:15:42
ironman-wales-20160918.csv,100,Sophie Needham,31,Hampshire,GBR,01:06:22,06:25:14,04:31:44,00:11:36,00:05:52,12:20:48
ironman-wales-20160918.csv,101,Jenny Close,39,Western Cape,GBR,01:03:31,06:11:31,03:54:58,00:08:10,00:03:37,11:21:47
ironman-wales-20160918.csv,102,Rebecca Fondermann,37,---,DEU,00:58:38,05:59:02,03:36:48,00:08:06,00:03:07,10:45:41
ironman-wales-20160918.csv,103,Simone Boehm,42,DE,DEU,01:04:35,06:40:54,04:08:03,00:10:20,00:04:49,12:08:41
ironman-wales-20160918.csv,104,Marc Joos,29,---,CHE,---,---,---,---,---,DNS
ironman-wales-20160918.csv,105,Matthew Evans,39,---,GBR,01:06:34,05:24:53,03:37:04,00:10:04,00:03:45,10:22:20
ironman-wales-20160918.csv,106,Philipp Gubler,35,CH,CHE,00:56:45,05:30:56,03:16:43,00:07:01,00:02:18,09:53:43
ironman-wales-20160918.csv,107,Robert Bacon,41,---,GBR,01:12:07,05:55:32,03:50:54,00:09:39,00:03:32,11:11:44
ironman-wales-20160918.csv,108,Fabian Bertoncello,44,VI,ITA,00:51:17,05:43:46,03:41:48,00:08:36,00:03:03,10:28:30
ironman-wales-20160918.csv,109,Aaron Gardiner,40,---,USA,00:47:10,05:51:39,04:05:03,00:09:04,00:03:13,10:56:09
ironman-wales-20160918.csv,110,Bartlomiej Holda,42,---,POL,00:58:10,05:56:06,04:00:46,00:09:11,00:07:47,11:12:00
ironman-wales-20160918.csv,111,James King,44,---,GBR,01:00:11,05:38:34,04:54:39,00:10:59,00:04:35,11:48:58
ironman-wales-20160918.csv,112,Oliver Klaus,42,---,CHE,00:59:33,05:41:52,03:37:56,00:08:05,00:01:55,10:29:21
ironman-wales-20160918.csv,113,Tom Ward,40,Glos,GBR,00:50:58,05:50:41,03:40:12,00:08:22,00:02:54,10:33:07
ironman-wales-20160918.csv,114,James Charlton,47,CT,GBR,01:00:41,05:52:39,03:46:23,00:07:57,00:05:29,10:53:09
ironman-wales-20160918.csv,115,Richard Hendy,44,---,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,116,Hank Mees,45,---,BEL,01:12:09,05:49:44,05:17:28,00:15:45,00:05:23,12:40:29
ironman-wales-20160918.csv,117,Phillip Turner,48,---,GBR,00:59:18,05:40:57,03:47:06,00:11:02,00:05:06,10:43:29
ironman-wales-20160918.csv,118,James Graham,52,---,GBR,01:12:18,06:09:48,03:51:34,00:09:12,00:04:12,11:27:04
ironman-wales-20160918.csv,119,James Mcdiarmid,49,Devon,GBR,01:10:34,05:47:44,04:01:58,00:10:50,00:03:55,11:15:01
ironman-wales-20160918.csv,120,Martin Gannon,59,---,GBR,01:06:02,06:12:31,04:06:14,00:10:26,00:03:40,11:38:53
ironman-wales-20160918.csv,121,Simon Lovelock,33,---,GBR,01:01:03,05:46:29,03:16:45,00:08:21,00:02:42,10:15:20
ironman-wales-20160918.csv,122,Ulrich Dr.Prã¤tsch,69,---,DEU,01:37:21,07:56:35,05:28:01,00:22:15,00:11:53,15:36:05
ironman-wales-20160918.csv,124,Sam Palmer,28,West midlans,GBR,01:01:35,05:58:15,03:33:56,00:09:46,00:04:20,10:47:52
ironman-wales-20160918.csv,125,Rhiannon Strickland,27,---,GBR,00:59:54,06:12:19,03:40:24,00:08:52,00:02:57,11:04:26
ironman-wales-20160918.csv,126,Tracy Markham,30,Western Cape,ZAF,---,---,---,---,---,DNS
ironman-wales-20160918.csv,127,Tracy Markham,30,Western Cape,ZAF,00:52:48,06:25:21,03:43:45,00:08:29,00:03:20,11:13:43
ironman-wales-20160918.csv,128,Gemma Marshall,31,Surrey,GBR,01:09:24,07:18:55,04:38:50,00:10:28,00:05:33,13:23:10
ironman-wales-20160918.csv,129,Anthea Morrison,34,NZ,NZL,01:02:26,06:31:53,03:44:26,00:09:35,00:02:52,11:31:12
ironman-wales-20160918.csv,130,Andrea Mason,35,FR,GBR,00:52:09,06:24:03,04:40:32,00:10:00,00:05:04,12:11:48
ironman-wales-20160918.csv,131,Sally Waterworth,38,Eastern Cape,ZAF,01:01:56,06:26:49,03:52:16,00:11:51,00:03:38,11:36:30
ironman-wales-20160918.csv,132,Tara Truman,44,Glos,GBR,01:04:40,07:05:29,05:04:20,00:08:59,00:02:39,13:26:07
ironman-wales-20160918.csv,133,Jayne Arnold,44,---,GBR,01:13:51,06:40:22,04:18:11,00:12:13,00:06:23,12:31:00
ironman-wales-20160918.csv,134,Lucy Francis,47,---,GBR,01:14:00,07:45:52,04:28:21,00:13:31,00:06:12,13:47:56
ironman-wales-20160918.csv,135,Lee-Michelle Jones,45,Swansea,GBR,01:15:28,06:41:20,04:43:36,00:12:48,00:09:40,13:02:52
ironman-wales-20160918.csv,136,Margaret Kelly,45,Donegal,IRL,---,---,---,---,---,DNS
ironman-wales-20160918.csv,137,Michele Stoeckli,45,---,CHE,00:59:15,06:36:00,04:04:05,00:11:05,00:03:57,11:54:22
ironman-wales-20160918.csv,138,Share Forrester,57,staffordshire,GBR,01:21:06,07:39:02,04:39:47,00:12:19,00:06:56,13:59:10
ironman-wales-20160918.csv,139,Nancy Pauw,58,Ab,CAN,---,---,---,---,---,DNS
ironman-wales-20160918.csv,140,Vincent Morizot,24,---,FRA,---,---,---,---,---,DNS
ironman-wales-20160918.csv,141,Oliver Burrows,28,Somerset,GBR,00:57:43,05:45:38,03:25:31,00:08:02,00:02:38,10:19:32
ironman-wales-20160918.csv,142,Matthew Dyke,26,---,GBR,01:02:07,05:56:00,03:40:07,00:08:27,00:03:14,10:49:55
ironman-wales-20160918.csv,143,Ben Elliott,26,Dyfed,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,144,Lukas Odstrcil,25,---,CZE,00:56:57,05:49:43,03:45:35,00:09:54,00:02:22,10:44:31
ironman-wales-20160918.csv,145,Simon Stanford,26,Pembrokeshire,GBR,01:07:16,06:55:17,04:50:21,00:11:25,00:06:55,13:11:14
ironman-wales-20160918.csv,146,Chris Adams,33,Gloucestershire,GBR,00:59:37,05:47:09,03:32:06,00:09:03,00:03:12,10:31:07
ironman-wales-20160918.csv,147,Anthony Bannon,30,vale of glamorgan,IRL,00:55:26,06:14:59,04:03:03,00:09:11,00:03:25,11:26:04
ironman-wales-20160918.csv,148,Andrew Cole,34,---,GBR,00:55:58,06:05:46,03:31:47,00:08:15,00:01:58,10:43:44
ironman-wales-20160918.csv,149,Matthew Cooke,33,Somerset,GBR,00:54:47,05:40:47,03:35:18,00:09:11,00:03:18,10:23:21
ironman-wales-20160918.csv,150,Stephan Golatowski,33,---,DEU,00:57:35,05:28:03,---,00:08:47,00:02:23,DNF
ironman-wales-20160918.csv,151,Scott Hill,33,Norfolk,GBR,00:56:28,05:32:28,03:27:53,00:07:08,00:02:05,10:06:02
ironman-wales-20160918.csv,152,Rik Linssen,32,---,NLD,00:47:11,05:43:06,03:24:29,00:06:47,00:02:00,10:03:33
ironman-wales-20160918.csv,153,James Titmus,30,---,GBR,---,---,---,---,---,DNS
ironman-wales-20160918.csv,154,Alan Ward,32,Devon,GBR,00:50:58,05:36:22,03:50:18,00:07:07,00:03:02,10:27:47
