BIB,Name,State,Country,Gender,Division,Swim,Bike,Run,Overall,Overall Division Rank,Overall Rank,Swim Total Distance,Swim Total Split Time,Swim Total Race Time,Swim Total Pace,T1,Bike 21.5 km Distance,Bike 21.5 km Split Time,Bike 21.5 km Race Time,Bike 21.5 km Pace,Bike 34.5 km Distance,Bike 34.5 km Split Time,Bike 34.5 km Race Time,Bike 34.5 km Pace,Bike 59 km Distance,Bike 59 km Split Time,Bike 59 km Race Time,Bike 59 km Pace,Bike 77 km Distance,Bike 77 km Split Time,Bike 77 km Race Time,Bike 77 km Pace,Bike 90 km Distance,Bike 90 km Split Time,Bike 90 km Race Time,Bike 90 km Pace,Bike Total Distance,Bike Total Split Time,Bike Total Race Time,Bike Total Pace,T2,Run 2.7 km Distance,Run 2.7 km Split Time,Run 2.7 km Race Time,Run 2.7 km Pace,Run 7.1 km Distance,Run 7.1 km Split Time,Run 7.1 km Race Time,Run 7.1 km Pace,Run 11.8 km Distance,Run 11.8 km Split Time,Run 11.8 km Race Time,Run 11.8 km Pace,Run 16.2 km Distance,Run 16.2 km Split Time,Run 16.2 km Race Time,Run 16.2 km Pace,Run 21 km Distance,Run 21 km Split Time,Run 21 km Race Time,Run 21 km Pace,Run 21.1 km Distance,Run 21.1 km Split Time,Run 21.1 km Race Time,Run 21.1 km Pace,Run Total Distance,Run Total Split Time,Run Total Race Time,Run Total Pace
4,Jan Frodeno,Saarbruecken,GER,Male,MPRO,00:22:14,02:09:04,01:16:32,03:51:19,1,1,1.9,00:22:14,22:14,1:10/100m,00:02:03,21.5,00:26:45,51:02:00,48.22 km/h,13,00:32:29,01:23:31,24.01 km/h,24.5,00:27:42,01:51:13,53.07 km/h,18,00:22:36,02:13:49,47.79 km/h,13,00:19:32,02:33:21,39.93 km/h,90,02:09:04,02:33:21,41.84 km/h,00:01:26,2.7,00:08:49,02:43:36,3:15/km,4.4,00:15:23,02:58:59,3:29/km,4.7,00:16:59,03:15:58,3:36/km,4.4,00:16:39,03:32:37,3:47/km,4.8,00:17:47,03:50:24,3:42/km,0.1,00:00:55,03:51:19,9:09/km,21.1,01:16:32,03:51:19,3:37/km
11,Sebastian Kienle,Hohenklingen,GER,Male,MPRO,00:24:04,02:09:54,01:15:22,03:52:48,2,2,1.9,00:24:04,24:04:00,1:16/100m,00:02:03,21.5,00:27:08,53:15:00,47.54 km/h,13,00:32:17,01:25:32,24.16 km/h,24.5,00:27:47,01:53:19,52.91 km/h,18,00:22:38,02:15:57,47.72 km/h,13,00:20:04,02:36:01,38.87 km/h,90,02:09:54,02:36:01,41.57 km/h,00:01:25,2.7,00:09:04,02:46:30,3:21/km,4.4,00:15:30,03:02:00,3:31/km,4.7,00:16:39,03:18:39,3:32/km,4.4,00:16:17,03:34:56,3:42/km,4.8,00:17:10,03:52:06,3:34/km,0.1,00:00:42,03:52:48,6:59/km,21.1,01:15:22,03:52:48,3:34/km
1,Javier Gomez,Pontevedra,ESP,Male,MPRO,00:22:12,02:13:38,01:15:35,03:55:05,3,3,1.9,00:22:12,22:12,1:10/100m,00:02:04,21.5,00:27:15,51:31:00,47.34 km/h,13,00:32:07,01:23:38,24.29 km/h,24.5,00:28:57,01:52:35,50.78 km/h,18,00:24:05,02:16:40,44.84 km/h,13,00:21:14,02:37:54,36.73 km/h,90,02:13:38,02:37:54,40.41 km/h,00:01:36,2.7,00:08:49,02:48:19,3:15/km,4.4,00:15:06,03:03:25,3:25/km,4.7,00:16:11,03:19:36,3:26/km,4.4,00:16:13,03:35:49,3:41/km,4.8,00:18:34,03:54:23,3:52/km,0.1,00:00:42,03:55:05,6:59/km,21.1,01:15:35,03:55:05,3:34/km
6,Bart Aernouts,Merksem,BEL,Male,MPRO,00:25:38,02:12:07,01:14:55,03:56:28,4,4,1.9,00:25:38,25:38:00,1:20/100m,00:02:06,21.5,00:27:26,55:10:00,47.02 km/h,13,00:33:09,01:28:19,23.53 km/h,24.5,00:28:22,01:56:41,51.82 km/h,18,00:23:20,02:20:01,46.29 km/h,13,00:19:50,02:39:51,39.33 km/h,90,02:12:07,02:39:51,40.87 km/h,00:01:42,2.7,00:09:28,02:51:01,3:30/km,4.4,00:15:55,03:06:56,3:37/km,4.7,00:16:44,03:23:40,3:33/km,4.4,00:16:04,03:39:44,3:39/km,4.8,00:16:16,03:56:00,3:23/km,0.1,00:00:28,03:56:28,4:39/km,21.1,01:14:55,03:56:28,3:33/km
5,Michael Raelert,Rostock,GER,Male,MPRO,00:22:15,02:13:19,01:17:17,03:56:34,5,5,1.9,00:22:15,22:15,1:10/100m,00:02:10,21.5,00:27:04,51:29:00,47.66 km/h,13,00:31:54,01:23:23,24.45 km/h,24.5,00:29:07,01:52:30,50.49 km/h,18,00:24:06,02:16:36,44.81 km/h,13,00:21:08,02:37:44,36.91 km/h,90,02:13:19,02:37:44,40.51 km/h,00:01:33,2.7,00:09:03,02:48:20,3:21/km,4.4,00:16:00,03:04:20,3:38/km,4.7,00:17:04,03:21:24,3:37/km,4.4,00:16:48,03:38:12,3:49/km,4.8,00:17:46,03:55:58,3:42/km,0.1,00:00:36,03:56:34,5:59/km,21.1,01:17:17,03:56:34,3:39/km
26,Andi Boecherer,Freiburg,GER,Male,MPRO,00:22:12,02:09:00,01:21:44,03:56:52,6,6,1.9,00:22:12,22:12,1:10/100m,00:02:16,21.5,00:26:33,51:01:00,48.59 km/h,13,00:31:12,01:22:13,25.00 km/h,24.5,00:28:12,01:50:25,52.13 km/h,18,00:23:21,02:13:46,46.25 km/h,13,00:19:42,02:33:28,39.59 km/h,90,02:09:00,02:33:28,41.86 km/h,00:01:40,2.7,00:09:54,02:45:02,3:39/km,4.4,00:17:18,03:02:20,3:55/km,4.7,00:18:00,03:20:20,3:49/km,4.4,00:17:32,03:37:52,3:59/km,4.8,00:18:16,03:56:08,3:48/km,0.1,00:00:44,03:56:52,7:19/km,21.1,01:21:44,03:56:52,3:52/km
38,Jan Van Berkel,Dielsdorf,SUI,Male,MPRO,00:22:27,02:13:15,01:18:34,03:57:47,7,7,1.9,00:22:27,22:27,1:10/100m,00:02:03,21.5,00:26:56,51:26:00,47.90 km/h,13,00:33:29,01:24:55,23.30 km/h,24.5,00:28:26,01:53:21,51.70 km/h,18,00:23:18,02:16:39,46.35 km/h,13,00:21:06,02:37:45,36.97 km/h,90,02:13:15,02:37:45,40.53 km/h,00:01:28,2.7,00:09:39,02:48:52,3:34/km,4.4,00:16:12,03:05:04,3:40/km,4.7,00:17:42,03:22:46,3:45/km,4.4,00:16:37,03:39:23,3:46/km,4.8,00:17:42,03:57:05,3:41/km,0.1,00:00:42,03:57:47,6:59/km,21.1,01:18:34,03:57:47,3:43/km
29,Tyler Butterfield,Boulder Heights,BER,Male,MPRO,00:24:05,02:13:48,01:17:19,03:58:44,8,8,1.9,00:24:05,24:05:00,1:16/100m,00:01:58,21.5,00:27:16,53:19:00,47.31 km/h,13,00:33:40,01:26:59,23.17 km/h,24.5,00:28:24,01:55:23,51.76 km/h,18,00:24:00,02:19:23,45.00 km/h,13,00:20:28,02:39:51,38.11 km/h,90,02:13:48,02:39:51,40.36 km/h,00:01:34,2.7,00:09:12,02:50:37,3:24/km,4.4,00:15:59,03:06:36,3:37/km,4.7,00:17:10,03:23:46,3:39/km,4.4,00:16:35,03:40:21,3:46/km,4.8,00:17:42,03:58:03,3:41/km,0.1,00:00:41,03:58:44,6:49/km,21.1,01:17:19,03:58:44,3:39/km
28,Andreas Dreitz,Michelau,GER,Male,MPRO,00:23:04,02:07:35,01:24:37,03:58:58,9,9,1.9,00:23:04,23:04,1:12/100m,00:02:06,21.5,00:25:56,51:06:00,49.74 km/h,13,00:31:03,01:22:09,25.12 km/h,24.5,00:27:38,01:49:47,53.20 km/h,18,00:22:41,02:12:28,47.61 km/h,13,00:20:17,02:32:45,38.46 km/h,90,02:07:35,02:32:45,42.33 km/h,00:01:36,2.7,00:09:48,02:44:09,3:37/km,4.4,00:18:15,03:02:24,4:08/km,4.7,00:19:05,03:21:29,4:03/km,4.4,00:18:31,03:40:00,4:12/km,4.8,00:18:18,03:58:18,3:48/km,0.1,00:00:40,03:58:58,6:39/km,21.1,01:24:37,03:58:58,4:00/km
47,Albert Molins,Igualada,ESP,Male,MPRO,00:24:30,02:14:32,01:16:58,04:00:11,10,10,1.9,00:24:30,24:30:00,1:17/100m,00:02:22,21.5,00:27:33,54:25:00,46.82 km/h,13,00:32:03,01:26:28,24.34 km/h,24.5,00:29:23,01:55:51,50.03 km/h,18,00:24:15,02:20:06,44.54 km/h,13,00:21:18,02:41:24,36.62 km/h,90,02:14:32,02:41:24,40.14 km/h,00:01:49,2.7,00:09:04,02:52:17,3:21/km,4.4,00:15:44,03:08:01,3:34/km,4.7,00:16:55,03:24:56,3:35/km,4.4,00:16:43,03:41:39,3:47/km,4.8,00:17:48,03:59:27,3:42/km,0.1,00:00:44,04:00:11,7:19/km,21.1,01:16:58,04:00:11,3:38/km
